"","InterZone","InterZone_Name","CPP","Typology_Group","Typology_Name","Indicator","Type","Year","value","IndicatorFullName","High is Positive","CPPScore","TypeScore","CombinedCPPScore","CombinedTypeScore","FilterRef","CPPScoreRank","TypeScoreRank"
"1","S02001738","Kincardine","Fife",55,"Accessible Rural, Dep -OP, HH Inc 40-70%","Child Poverty","Raw data","2023/24",16.9441369538349,"Child Poverty (%)","No",0.100753028119309,-0.762548082432283,-0.136602093706164,-7.93469161171301,"Child Poverty",50,9
"2","S02001739","Oakley Comrie and Blairhall","Fife",47,"Accessible Small Town, Dep - Child, HH Inc 0-100%","Child Poverty","Raw data","2023/24",21.7532169095936,"Child Poverty (%)","No",-0.503945435647179,-0.953116824385461,-1.43988117684984,-3.50353704678092,"Child Poverty",38,28
"3","S02001740","Saline and Gowkhall","Fife",60,"Accessible Rural, Dep - not OP or Child, HH Inc 60-80%","Child Poverty","Raw data","2023/24",9.00111124921896,"Child Poverty (%)","No",1.09951692587638,0.902657433235144,1.69151549556717,-1.47910228804164,"Child Poverty",61,39
"4","S02001741","Valleyfield Culross and Torryburn","Fife",49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%","Child Poverty","Raw data","2023/24",18.5141600297394,"Child Poverty (%)","No",-0.096663224222374,-1.77185951018584,-1.1094196417846,-10.6722315921405,"Child Poverty",41,4
"5","S02001742","Cairneyhill and Crombie","Fife",61,"Accessible Rural, Dep - not OP or Child, HH Inc 80-100%","Child Poverty","Raw data","2023/24",14.4872915876131,"Child Poverty (%)","No",0.409679191196952,-1.84926307773007,7.0072039069066,0.542282698957683,"Child Poverty",91,58
"6","S02001743","Crossford Charlestown and Limekilns","Fife",56,"Accessible Rural, Dep -OP, HH Inc 70-100%","Child Poverty","Raw data","2023/24",8.06529106515848,"Child Poverty (%)","No",1.21718788016888,0.511494271464418,8.1900605818342,3.49236854917756,"Child Poverty",96,80
"7","S02001744","Dunfermline Milesmark and Wellwood","Fife",37,"Other Urban, Dep - Adult, HH Inc 70-100%","Child Poverty","Raw data","2023/24",10.3849824640263,"Child Poverty (%)","No",0.925507592419036,-0.481745299532804,5.10118474886978,-6.34436961428895,"Child Poverty",85,15
"8","S02001745","Dunfermline Baldridgeburn","Fife",35,"Other Urban, Dep - Adult, HH Inc 0-40%","Child Poverty","Raw data","2023/24",19.3313877918823,"Child Poverty (%)","No",-0.199422250244259,0.387149638035155,-3.4184728720423,-1.5972783085517,"Child Poverty",27,36
"9","S02001746","Dunfermline Headwell","Fife",40,"Other Urban, Dep - Average, HH Inc 30-40%","Child Poverty","Raw data","2023/24",19.3275685694573,"Child Poverty (%)","No",-0.198942017444134,0.116771250335513,-1.06814599543463,0.566369333790581,"Child Poverty",42,59
"10","S02001747","Dunfermline Central","Fife",41,"Other Urban, Dep - Average, HH Inc 40-50%","Child Poverty","Raw data","2023/24",14.8201935616267,"Child Poverty (%)","No",0.36781976816328,0.637765094678233,0.254012559655268,1.95681517624701,"Child Poverty",52,74
"11","S02001748","Dunfermline Brucefield","Fife",39,"Other Urban, Dep - Average, HH Inc 20-30%","Child Poverty","Raw data","2023/24",24.063012335763,"Child Poverty (%)","No",-0.794381394015258,-0.0250563515624578,-0.48866094352381,3.87340895401826,"Child Poverty",48,84
"12","S02001749","Dunfermline Garvock Hill","Fife",26,"Other Urban, Dep - OP, HH Inc 70-100%","Child Poverty","Raw data","2023/24",6.39454819910522,"Child Poverty (%)","No",1.42726873840902,0.300617724559363,10.3468666907828,5.06364376678291,"Child Poverty",103,92
"13","S02001750","Dunfermline Bellyeoman and Townhill","Fife",25,"Other Urban, Dep - OP, HH Inc 50-70%","Child Poverty","Raw data","2023/24",9.24690005205531,"Child Poverty (%)","No",1.06861119903186,0.384378584587374,4.78241534985194,-1.11900033642765,"Child Poverty",81,42
"14","S02001751","Dunfermline Duloch North and Lynebank","Fife",31,"Other Urban, Dep - Child, HH Inc 80-100%","Child Poverty","Raw data","2023/24",7.76766814126596,"Child Poverty (%)","No",1.25461128059373,0.220344790229118,1.62550500025326,-0.664512525647256,"Child Poverty",59,45
"15","S02001752","Dunfermline Touch and Woodmill","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",22.9505919184197,"Child Poverty (%)","No",-0.654504551954344,0.805967907380568,-6.53921931181954,0.521537658981238,"Child Poverty",17,57
"16","S02001753","Dunfermline Abbeyview North","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",25.5712815080733,"Child Poverty (%)","No",-0.984032649522093,0.3409229578233,-7.83796215144548,-0.893967986065353,"Child Poverty",10,44
"17","S02001754","Dunfermline Abbeyview South","Fife",29,"Other Urban, Dep - Child, HH Inc 40-60%","Child Poverty","Raw data","2023/24",18.197636515982,"Child Poverty (%)","No",-0.056863244959007,0.337047365652882,0.653153286877352,4.30975171568164,"Child Poverty",55,87
"18","S02001755","Dunfermline Duloch South","Fife",31,"Other Urban, Dep - Child, HH Inc 80-100%","Child Poverty","Raw data","2023/24",4.80969035611692,"Child Poverty (%)","No",1.62655032901674,0.824982352745453,9.25308860284071,6.58917511338755,"Child Poverty",100,99
"19","S02001756","Dunfermline Masterton","Fife",31,"Other Urban, Dep - Child, HH Inc 80-100%","Child Poverty","Raw data","2023/24",5.31659552593085,"Child Poverty (%)","No",1.5628115722729,0.72136632566032,4.71626537808099,5.25382737391221,"Child Poverty",80,93
