,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2019,Scotland,Aberdeen City,317,4492,4809,102.0294553,337,9.6,5.835,94.87,18200,309.6
2,2019,Scotland,Aberdeen City,74,4334,4408,83.13095973,228,5.0,6.23913,96.41,16683,328.3
3,2019,Scotland,Aberdeen City,208,6657,6865,89.79661181,236,3.7,6.35542,97.45,17209,210.3
4,2019,Scotland,Aberdeen City,713,4784,5497,92.30079503,539,20.4,4.9902,85.33,31663,1185.1
5,2019,Scotland,Aberdeen City,132,4383,4515,97.87234043,248,3.9,5.9375,93.65,24254,546.0
6,2019,Scotland,Aberdeen City,88,3958,4046,95.2167041,196,2.1,6.08197,100.00,22158,411.2
7,2019,Scotland,Aberdeen City,84,4866,4950,91.1362879,203,2.4,5.97959,95.59,23545,233.6
8,2019,Scotland,Aberdeen City,270,4914,5184,89.28040882,236,6.7,5.98795,95.10,26153,817.1
9,2019,Scotland,Aberdeen City,461,3434,3895,102.1881266,539,18.9,5.425,87.90,30538,1309.3
10,2019,Scotland,Aberdeen City,136,4456,4592,100.1982816,611,3.2,6.07216,98.54,23747,1132.5
11,2019,Scotland,Aberdeen City,399,5334,5733,102.0955425,434,10.4,6.19608,90.72,21348,751.9
12,2019,Scotland,Aberdeen City,64,3611,3675,97.53582185,200,2.4,6.37879,100.00,25771,1924.3
13,2019,Scotland,Aberdeen City,159,6192,6351,96.17043941,293,4.2,6.3125,99.31,28956,606.2
14,2019,Scotland,Aberdeen City,263,3744,4007,99.66278874,748,17.4,5.28571,82.93,34104,5244.9
15,2019,Scotland,Aberdeen City,238,2440,2678,91.2176932,737,25.5,4.41667,59.52,38053,8140.7
16,2019,Scotland,Aberdeen City,184,4943,5127,96.27150412,327,6.5,5.9,90.91,25822,451.0
17,2019,Scotland,Aberdeen City,236,4765,5001,94.64117409,421,4.7,5.38636,91.57,20396,579.8
18,2019,Scotland,Aberdeen City,501,3449,3950,104.4403017,538,21.0,5.22222,88.72,28705,1170.2
19,2019,Scotland,Aberdeen City,373,4529,4902,78.41169913,358,13.0,5.07519,90.06,30055,1489.1
20,2019,Scotland,Aberdeen City,101,3853,3954,102.0192711,348,5.0,5.74038,94.74,17304,323.4
21,2019,Scotland,Aberdeen City,169,3372,3541,107.2375322,452,13.8,5.43529,94.79,19831,1396.0
22,2019,Scotland,Aberdeen City,877,4595,5472,104.289578,719,29.3,4.73913,80.46,33100,1596.1
23,2019,Scotland,Aberdeen City,1000,3582,4582,106.7115653,714,40.8,4.51266,83.86,28852,2117.6
