,crime,CP,Attain,PD,EA,Depop,EM
2010,0.20402696,,,,0.182613847,-0.060226749,0.236919142
2011,0.198921705,,,,0.179612834,-0.016199621,0.236975045
2012,0.18864381,,,,0.191699455,-0.029468231,0.239011147
2013,0.181656568,,0.256855221,,0.208976923,-0.04334525,0.245519269
2014,0.190334952,0.259673019,0.251165665,,0.207200367,-0.049482573,0.200743893
2015,0.191868525,0.261872311,0.250857375,,0.195277962,-0.050642739,0.228224413
2016,0.197287924,0.267091636,0.24794309,0.230539894,0.204529389,-0.054701498,0.240401417
2017,0.195548602,0.27151373,0.250474093,0.230539894,0.208487167,-0.060511741,0.252319143
2018,0.202308756,0.277263337,0.251962973,0.225913444,0.204892514,-0.07251189,0.264919102
2019,0.207314703,0.277994783,0.254961796,0.231486862,0.217471309,-0.074804162,0.269792874
2020,0.222271514,0.268039191,0.254986749,0.229508726,0.208356191,-0.078110391,0.270943963
2021,0.211005848,0.283153431,0.252668448,0.226817229,0.216127318,-0.078971263,0.273357749
2022,0.211769163,0.276763122,0.253387388,0.222033517,0.212270898,-0.081122192,0.271192474
