,year,country,la,inc.n,noninc.n,pop,Depop,EM,CP,Attain,PD,EA,crime
1,2014,Scotland,Aberdeen City,285,4701,4986,99.85472454,290.7237152,5.970149254,5.71,99.95757814,23630.50483,137.7346256
2,2014,Scotland,Aberdeen City,85,4144,4229,97.10464573,276.6759171,1.606922126,6.32,92.92513202,22154.22277,129.3387744
3,2014,Scotland,Aberdeen City,195,6371,6566,90.73395052,190.9417703,2.712886209,6.41,99.96276908,17367.16891,69.23882713
4,2014,Scotland,Aberdeen City,610,4679,5289,98.87128906,543.5401606,13.39779006,5.03,85.85880219,32502.9656,552.6003762
5,2014,Scotland,Aberdeen City,105,4552,4657,91.94933587,243.302014,2.724358974,5.95,94.91757655,21349.86226,278.974706
6,2014,Scotland,Aberdeen City,95,3964,4059,95.26703808,272.9433829,0.964630225,6.1,99.84322838,23674.24242,111.2837254
7,2014,Scotland,Aberdeen City,120,4568,4688,87.60832281,219.4,0.772797527,6.08,100,19266.05505,168.4733836
8,2014,Scotland,Aberdeen City,230,4730,4960,99.83032176,334.524262,3.23943662,5.85,94.22210262,23300.97087,282.2752213
9,2014,Scotland,Aberdeen City,455,3517,3972,101.3628932,485.8,13.83647799,4.98,95.25309584,26650.9434,578.1739649
10,2014,Scotland,Aberdeen City,145,4483,4628,104.2435481,704,3.394255875,6.25,83.29979551,21502.59067,366.5328919
11,2014,Scotland,Aberdeen City,385,5548,5933,96.683762,423.6,10.07604563,5.8,89.23870795,26274.5098,636.8354487
12,2014,Scotland,Aberdeen City,55,3577,3632,97.37866654,216.2285389,0.859598854,6.26,99.92404682,17077.79886,595.3892543
13,2014,Scotland,Aberdeen City,155,6146,6301,93.73815081,323.5,5.290322581,6.26,100,23321.55477,355.1344877
14,2014,Scotland,Aberdeen City,310,3881,4191,86.31005193,764.4,16.4874552,5.74,100,29376.8546,4179.113949
15,2014,Scotland,Aberdeen City,250,2487,2737,69.79139926,764.4,18.26923077,5.79,100,37500,4621.407633
16,2014,Scotland,Aberdeen City,190,4843,5033,81.04340222,440.4,6.843267108,5.35,81.41708852,27720.20725,427.8072055
17,2014,Scotland,Aberdeen City,200,4841,5041,88.36210457,349.2,1.724137931,5.95,88.57620514,20643.72919,307.8848967
18,2014,Scotland,Aberdeen City,490,3646,4136,106.532449,523.9,13.85826772,4.93,84.56271683,31981.46002,529.9319482
19,2014,Scotland,Aberdeen City,335,4057,4392,91.02509316,466.3035785,9.473684211,5.1,99.89258352,27873.18362,364.1032461
20,2014,Scotland,Aberdeen City,100,3935,4035,94.90128102,363.9857459,4.632152589,5.69,97.68490033,15686.27451,153.9127601
21,2014,Scotland,Aberdeen City,170,3431,3601,109.2202713,515.7805865,6.470588235,5.36,89.84032375,26923.07692,445.925717
