InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Attainment,Child Poverty,Crime Rate,Depopulation,Early Mortality,Emergency Admissions,Out of Work Benefits,Positive Destinations,Total Score
S02001794,Kirkcaldy Pathhead,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",0.373330268,0.806242667,0.70442483,1.923018178,1.448635905,0.5608176,0.970525981,0.802184662,7.589180092
S02001801,Glenrothes South Parks,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",1.020599154,0.485177975,0.800369706,-0.045035488,0.801536522,-0.80599385,0.607408717,0.11828384,2.982346575
S02001806,Glenrothes Woodside,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",-0.088489917,0.350650175,1.056318634,0.50055872,-0.086584936,-0.246694798,0.782762502,-1.583695539,0.684824842
S02001817,Leven East,Fife,23,"Other Urban, Dep - OP, HH Inc 0-30%",1.137333145,0.204146113,-1.576452218,0.419334887,-1.572082025,-0.085744743,-0.554105425,-1.208044641,-3.235614907
S02001783,Kirkcaldy Linktown & Seafield,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",-0.936316009,-2.382686721,-0.252253347,1.746510549,-1.73211425,0.144233139,-2.472598989,0.844441588,-5.040784039
S02001784,Kirkcaldy Central,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",0.491728451,-0.575508655,-1.043854451,0.077815106,-0.275073412,-0.927681321,-0.484017771,0.06277992,-2.673812133
S02001788,Kirkcaldy Newliston and Redcraigs,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",-1.365033019,0.162102411,0.904302581,-1.63303641,1.085994677,0.439622755,0.23592155,0.844441588,0.674316133
S02001819,Leven North,Fife,24,"Other Urban, Dep - OP, HH Inc 30-50%",-0.688932191,-0.824053482,0.434109015,0.172077523,-0.44375279,0.751364424,-0.130120046,-0.865781525,-1.595089072
S02001750,Dunfermline Bellyeoman and Townhill,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",-0.144695437,-0.50502922,0.399899162,2.102912958,-0.569795071,-0.435334876,-0.345657094,0.773177808,1.27547823
S02001758,Dunfermline Pitcorthie West,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",0.902521026,0.847649127,-0.10024343,-0.66217149,0.546574121,1.458862046,1.066874917,0.773769625,4.833835943
S02001836,St Andrews South West,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",1.405027349,1.150216921,1.312850089,1.611734505,1.526703945,1.776520356,2.047345186,-1.642389161,9.18800919
S02001749,Dunfermline Garvock Hill,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",0.703911771,-0.701361029,0.505012202,-0.708370107,0.022247366,0.439081652,1.295253266,0.687969331,2.243744453
S02001791,Kirkcaldy Dunnikier,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",-1.896831655,-1.344742391,1.370162941,-1.473737626,1.025618501,1.343104029,0.271286085,0.991668556,0.28652844
S02001752,Dunfermline Touch and Woodmill,Fife,27,"Other Urban, Dep - Child, HH Inc 10-20%",-0.324382331,-0.2878447,0.264586683,-0.461638118,-0.252802728,0.593268461,0.10579776,0.298992379,-0.064022595
S02001753,Dunfermline Abbeyview North,Fife,27,"Other Urban, Dep - Child, HH Inc 10-20%",-0.478303093,-0.648393852,0.518196372,-0.577567959,-0.733474831,0.805981128,-0.015201457,-1.703858235,-2.832621927
S02001756,Dunfermline Masterton,Fife,27,"Other Urban, Dep - Child, HH Inc 0-10%",3.364583955,3.811149018,2.256653803,4.104119571,2.880876777,1.672301812,3.840140992,-0.573247841,21.35657809
S02001795,Kirkcaldy Gallatown and Sinclairtown,Fife,27,"Other Urban, Dep - Child, HH Inc 0-10%",0.043423226,-0.620353535,-0.123359353,0.223420881,-0.742203743,-1.142903072,-0.743271575,0.823077381,-2.28216979
S02001800,Glenrothes Macedonia and Tanshall,Fife,27,"Other Urban, Dep - Child, HH Inc 10-20%",0.237402207,0.049828265,0.392461948,-1.433467623,0.204010347,1.500141931,-0.243868769,-2.355015111,-1.648506805
S02001803,Glenrothes Auchmuty,Fife,27,"Other Urban, Dep - Child, HH Inc 10-20%",0.481632292,-0.223375743,-1.608811145,-0.591908694,-0.152129274,0.051521789,0.132349241,-0.968099755,-2.878821289
S02001814,Methil Methilhill,Fife,27,"Other Urban, Dep - Child, HH Inc 10-20%",0.059855543,-0.232894212,1.01145763,-0.776236505,0.468205425,0.044594912,0.209050874,0.270662093,1.05469576
S02001816,Methil East,Fife,27,"Other Urban, Dep - Child, HH Inc 0-10%",-1.169229582,0.242215628,-0.957388101,-0.149759483,-0.457641203,0.627851229,-0.953419613,0.525638295,-2.291732831
S02001754,Dunfermline Abbeyview South,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",-0.614979047,1.259574517,1.524416216,-0.56270135,1.339990441,1.603283639,1.535794975,0.144227201,6.229606591
S02001771,Cowdenbeath North,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",-0.084292269,1.65744569,0.539244569,1.553904373,1.34178382,-1.724586038,1.750045948,-1.123504661,3.910041434
S02001790,Kirkcaldy Templehall East,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",-0.584804132,-1.204610072,-1.50258713,0.152828638,0.912269527,-0.574295361,-0.697926907,-0.042129532,-3.541254968
S02001793,Kirkcaldy Hayfield and Smeaton,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",-0.603227855,-0.857775953,-3.362793302,0.814843507,-1.851327655,-0.313935512,-0.386913324,-0.583515419,-7.144645513
S02001808,Glenrothes Collydean,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",-0.455463289,-0.989594644,0.84606763,-1.113460572,0.396673038,1.010586362,-1.26470352,-0.794846034,-2.364741029
S02001818,Leven West,Fife,28,"Other Urban, Dep - Child, HH Inc 20-40%",-0.676162715,1.82686309,0.780092817,2.239644318,0.572424189,1.023475258,1.584451014,-0.84178328,6.509004691
S02001777,Lochgelly East,Fife,29,"Other Urban, Dep - Child, HH Inc 40-60%",0.849680406,-0.092083108,0.520111326,-0.253449621,0.838234863,0.484855375,-0.380514747,-1.210939671,0.755894824
S02001805,Glenrothes Pitteuchar,Fife,29,"Other Urban, Dep - Child, HH Inc 40-60%",0.298184463,0.314713812,0.541739467,0.101641907,0.946649733,0.290231655,2.221330832,0.078567722,4.793059591
S02001792,Kirkcaldy Chapel,Fife,30,"Other Urban, Dep - Child, HH Inc 60-80%",0.783572026,-0.266559627,-0.219731837,0.977773313,0.779921615,0.302059611,0.894590545,0.029996748,3.281622395
S02001751,Dunfermline Duloch North and Lynebank,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",0.405231194,0.205395629,-0.017524634,1.264717774,1.115585227,0.816563272,0.52391,-0.482242061,3.831636401
S02001755,Dunfermline Duloch South,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",-0.182121924,0.464358055,1.223833121,1.655789045,0.150359618,0.747160094,1.125065077,-1.086456082,4.097987002
S02001762,Rosyth South,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",-2.658927238,-1.949968559,-0.203840784,-0.451693885,-0.095461874,0.536577993,-0.308223537,0.960138696,-4.171399187
S02001834,St Andrews South East,Fife,32,"Other Urban, Dep -Student, HH Inc 0-30%",-0.006337801,0.73766111,1.404564184,1.353024833,1.77388984,1.257304935,1.876615325,-0.991532258,7.405190168
S02001835,St Andrews Central,Fife,32,"Other Urban, Dep -Student, HH Inc 0-30%",-2.112712614,2.733221156,1.05148022,2.079009854,1.443835156,1.501220386,2.45990607,0.840692511,9.996652738
S02001837,St Andrews North and Strathkinness,Fife,34,"Other Urban, Dep -Student, HH Inc 70-100%",0.957370878,1.531832886,0.651575284,1.095412606,1.324035961,0.891639597,1.793338155,0.876698236,9.121903603
S02001745,Dunfermline Baldridgeburn,Fife,35,"Other Urban, Dep - Adult, HH Inc 0-40%",0.596084755,-0.387794808,0.330416836,0.445048818,-1.060331407,-0.615025671,-0.663718744,-1.873707617,-3.229027839
S02001747,Dunfermline Central,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",0.808851789,0.07762357,-3.209555346,0.772002925,0.133476482,1.475973039,-0.045442296,-0.586222714,-0.573292549
S02001763,North Queensferry and Inverkeithing West,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",-0.682021665,-0.128859471,0.176698504,-0.472872832,0.728565839,-0.239884937,0.077256954,-1.885678243,-2.426795852
S02001804,Glenrothes Stenton and Finglassie,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",-1.155457052,-1.087196087,0.118281023,-0.057866668,0.298027706,1.822471545,0.035079482,-0.326318335,-0.352978386
S02001812,Windygates and Coaltown,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",0.371061193,-0.575198383,0.821888411,0.762687799,1.587387979,-0.101994322,1.113522857,-1.519100932,2.460254601
S02001744,Dunfermline Milesmark and Wellwood,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",-0.32455776,-0.476425194,0.473268885,0.660298359,-0.545778857,0.052530616,-0.845709318,0.018151315,-0.988221954
S02001787,Kirkcaldy Raith,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",-0.067301317,-0.156851825,-0.041652866,-0.816469415,0.742560057,0.490223977,0.479124837,0.336052886,0.965686334
S02001807,Glenrothes Balgeddie and Town Park,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",-0.96863904,0.775969453,-0.468178661,1.152296815,-0.077013449,1.072536123,1.061509172,-0.957019956,1.591460458
S02001810,Glenrothes Balfarg Pitcairn and Coul,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",0.269750271,-1.463465559,-0.81950015,-0.328433879,-1.659479678,-2.460002906,-2.370822893,-2.529827908,-11.3617827
S02001770,Cowdenbeath South,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",-1.652224426,-0.457964247,0.774800715,0.428667065,0.018380278,0.734856689,0.019894587,0.837277349,0.70368801
S02001778,Lochgelly West and Lumphinnans,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",-1.377761743,-0.5843762,0.734070644,0.545906629,0.21443658,-0.614382045,-0.409049837,-0.384384362,-1.875540334
S02001789,Kirkcaldy Templehall West,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",0.263347444,-1.027995543,0.231341408,-0.174311381,0.216005031,0.105975962,0.324197466,-0.470626229,-0.532065842
S02001796,Dysart,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",1.145457844,-0.527514345,0.56010492,0.218262825,0.050533512,1.061462117,0.109452433,0.837277349,3.455036653
S02001813,"Buckhaven, Denbeath and Muiredge",Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",-0.913642459,-0.436058041,-0.192421301,-1.864450489,-0.313346985,0.519575159,-1.143536552,-1.212721127,-5.556601795
S02001815,Methil West,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",-1.834750392,-1.899373327,-0.457469259,-0.603275257,-2.393896463,-1.195981191,-2.624235299,0.818103738,-10.19087745
S02001761,Rosyth Central,Fife,39,"Other Urban, Dep - Average, HH Inc 20-40%",-1.141280539,-0.228582662,0.924123347,0.37554177,0.805730006,0.314995351,0.195218623,0.886851969,2.132597864
