"","InterZone","InterZone_Name","CPP","Typology_Group","Typology_Name","Indicator","Type","Year","value","IndicatorFullName","High is Positive","Change","OverallZScore","CPPChangeScore","TypeChangeScore","CombinedCPPChangeScore","CombinedTypeChangeScore","FilterRef","CPPChangeRank","TypeChangeRank"
"1","S02001738","Kincardine","Fife",55,"Accessible Rural, Dep -OP, HH Inc 40-70%","Child Poverty","Raw data","2023/24",16.9441369538349,"Child Poverty (%)","No",0.027889602930022,0.382937767211211,0.264571682924454,0.416581825622204,-5.90599438579477,-4.42288210653411,"Child Poverty",5,12
"2","S02001739","Oakley Comrie and Blairhall","Fife",47,"Accessible Small Town, Dep - Child, HH Inc 0-100%","Child Poverty","Raw data","2023/24",21.7532169095936,"Child Poverty (%)","No",0.174163279201076,0.722362017912987,0.516286040419795,0.669295091828091,4.56949739718009,2.93085305133243,"Child Poverty",98,99
"3","S02001740","Saline and Gowkhall","Fife",60,"Accessible Rural, Dep - not OP or Child, HH Inc 60-80%","Child Poverty","Raw data","2023/24",9.00111124921896,"Child Poverty (%)","No",-0.164222389814376,-0.0628531013197669,-0.0660233226402965,-0.417687865735212,-5.00290266289175,-5.2803207503708,"Child Poverty",9,6
"4","S02001741","Valleyfield Culross and Torryburn","Fife",49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%","Child Poverty","Raw data","2023/24",18.5141600297394,"Child Poverty (%)","No",-0.035020174085763,0.236957270448212,0.156313693480341,0.236320713619634,0.2089021034001,-1.5173956834788,"Child Poverty",51,40
"5","S02001742","Cairneyhill and Crombie","Fife",61,"Accessible Rural, Dep - not OP or Child, HH Inc 80-100%","Child Poverty","Raw data","2023/24",14.4872915876131,"Child Poverty (%)","No",-1.04296079917184,-2.10194266112767,-1.57819611925485,-2.26991046991935,0.0256311392234135,-0.131893784880843,"Child Poverty",47,66
"6","S02001743","Crossford Charlestown and Limekilns","Fife",56,"Accessible Rural, Dep -OP, HH Inc 70-100%","Child Poverty","Raw data","2023/24",8.06529106515848,"Child Poverty (%)","No",-0.696624110314136,-1.29827740772813,-0.982204281657671,-1.63402519656444,-6.27395044572867,-3.33910838884746,"Child Poverty",4,18
"7","S02001744","Dunfermline Milesmark and Wellwood","Fife",37,"Other Urban, Dep - Adult, HH Inc 70-100%","Child Poverty","Raw data","2023/24",10.3849824640263,"Child Poverty (%)","No",-1.67577727337691,-3.57037678450863,-2.66717532780242,-2.46474191208116,-4.43072893241772,-6.80732976674525,"Child Poverty",10,3
"8","S02001745","Dunfermline Baldridgeburn","Fife",35,"Other Urban, Dep - Adult, HH Inc 0-40%","Child Poverty","Raw data","2023/24",19.3313877918823,"Child Poverty (%)","No",-0.302121410824126,-0.382844182914025,-0.303326194610123,-0.12050362681354,2.17306264110639,-0.0401559974087987,"Child Poverty",79,68
"9","S02001746","Dunfermline Headwell","Fife",40,"Other Urban, Dep - Average, HH Inc 30-40%","Child Poverty","Raw data","2023/24",19.3275685694573,"Child Poverty (%)","No",-0.0657951173902385,0.165544817177026,0.103354779215501,-0.000921297258836832,-0.0366257478283535,-2.42787867160177,"Child Poverty",44,29
"10","S02001747","Dunfermline Central","Fife",41,"Other Urban, Dep - Average, HH Inc 40-50%","Child Poverty","Raw data","2023/24",14.8201935616267,"Child Poverty (%)","No",-0.0636107098172394,0.170613677976822,0.107113806559058,0.209158802557921,2.32933015925953,1.24465653418095,"Child Poverty",82,86
"11","S02001748","Dunfermline Brucefield","Fife",39,"Other Urban, Dep - Average, HH Inc 20-30%","Child Poverty","Raw data","2023/24",24.063012335763,"Child Poverty (%)","No",-0.271078927589573,-0.310810910213025,-0.249906885533855,0.0769868495830978,2.69017651587946,0.876875013991263,"Child Poverty",85,79
"12","S02001749","Dunfermline Garvock Hill","Fife",26,"Other Urban, Dep - OP, HH Inc 70-100%","Child Poverty","Raw data","2023/24",6.39454819910522,"Child Poverty (%)","No",0.306521149814369,1.02949500453561,0.744053450183526,0.956675425234145,6.17584172421405,6.37823500634564,"Child Poverty",103,104
"13","S02001750","Dunfermline Bellyeoman and Townhill","Fife",25,"Other Urban, Dep - OP, HH Inc 50-70%","Child Poverty","Raw data","2023/24",9.24690005205531,"Child Poverty (%)","No",0.194548099094186,0.769664460801536,0.551365160415003,0.80284990804793,-0.259190442024651,-1.97778245970616,"Child Poverty",40,35
"14","S02001751","Dunfermline Duloch North and Lynebank","Fife",31,"Other Urban, Dep - Child, HH Inc 80-100%","Child Poverty","Raw data","2023/24",7.76766814126596,"Child Poverty (%)","No",0.290776341688202,0.992959587932255,0.716959072285883,0.697670640384367,-1.91726063044052,-0.801378650965056,"Child Poverty",25,49
"15","S02001752","Dunfermline Touch and Woodmill","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",22.9505919184197,"Child Poverty (%)","No",0.204760262369211,0.793361519329321,0.568938712833601,0.982802767496934,-1.37427608040406,-2.33227882938263,"Child Poverty",31,31
"16","S02001753","Dunfermline Abbeyview North","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",25.5712815080733,"Child Poverty (%)","No",0.253619943816309,0.90673913577739,0.653018662393992,1.19384689793109,4.29717038652843,2.05404186272379,"Child Poverty",97,95
"17","S02001754","Dunfermline Abbeyview South","Fife",29,"Other Urban, Dep - Child, HH Inc 40-60%","Child Poverty","Raw data","2023/24",18.197636515982,"Child Poverty (%)","No",-0.392590203747679,-0.592774657301423,-0.459008985011403,-1.14981155837125,2.74449041703581,-2.36151516213397,"Child Poverty",86,30
"18","S02001755","Dunfermline Duloch South","Fife",31,"Other Urban, Dep - Child, HH Inc 80-100%","Child Poverty","Raw data","2023/24",4.80969035611692,"Child Poverty (%)","No",0.365941096972941,1.1673774421361,0.846305982578426,0.93623821126151,-2.84184308094409,-0.656897634021261,"Child Poverty",17,51
"19","S02001756","Dunfermline Masterton","Fife",31,"Other Urban, Dep - Child, HH Inc 80-100%","Child Poverty","Raw data","2023/24",5.31659552593085,"Child Poverty (%)","No",-0.0280250902717218,0.253189179994105,0.168351150066956,-0.314182360755865,-5.09144095625743,0.268622815336662,"Child Poverty",7,73
"20","S02001757","Dunfermline Pitcorthie East","Fife",37,"Other Urban, Dep - Adult, HH Inc 70-100%","Child Poverty","Raw data","2023/24",6.70694127762744,"Child Poverty (%)","No",-0.0793469992496958,0.134098028780038,0.0800340880148174,0.574652977250235,0.0815519348626507,-1.63750031871946,"Child Poverty",48,37
"21","S02001758","Dunfermline Pitcorthie West","Fife",25,"Other Urban, Dep - OP, HH Inc 50-70%","Child Poverty","Raw data","2023/24",13.3476665704351,"Child Poverty (%)","No",-0.652465037768943,-1.19580743163644,-0.90621335248525,-0.961721259116737,0.364498783179646,-1.046063353859,"Child Poverty",57,45
"22","S02001759","Rosyth North","Fife",40,"Other Urban, Dep - Average, HH Inc 30-40%","Child Poverty","Raw data","2023/24",14.0488747800173,"Child Poverty (%)","No",0.0211947349169499,0.367402500601289,0.253050851265696,0.289163471808689,0.913865953820784,-0.849261528226812,"Child Poverty",66,48
"23","S02001760","Rosyth East","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",19.6154666818217,"Child Poverty (%)","No",0.179984687325773,0.735870443633368,0.526303782799572,1.14144798503395,0.825166561091104,-1.21606118542639,"Child Poverty",64,43
"24","S02001761","Rosyth Central","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",20.8810637842617,"Child Poverty (%)","No",0.00327628897395704,0.32582321413644,0.222215979107991,0.527085997197328,3.68096674918625,1.26852323561368,"Child Poverty",95,87
"25","S02001762","Rosyth South","Fife",34,"Other Urban, Dep -Student, HH Inc 70-100%","Child Poverty","Raw data","2023/24",15.6678578340254,"Child Poverty (%)","No",0.184901047151053,0.747278728380267,0.53476407713403,0.657254643953701,5.10544758067924,0.973936021317166,"Child Poverty",101,80
"26","S02001763","North Queensferry and Inverkeithing West","Fife",36,"Other Urban, Dep - Adult, HH Inc 40-70%","Child Poverty","Raw data","2023/24",14.2549441204062,"Child Poverty (%)","No",-0.00955887646577391,0.296039547498152,0.200128645936564,0.469165658149094,2.7764305826741,-0.175999137481489,"Child Poverty",87,65
"27","S02001764","Inverkeithing East","Fife",41,"Other Urban, Dep - Average, HH Inc 40-50%","Child Poverty","Raw data","2023/24",19.3996448095889,"Child Poverty (%)","No",0.379570734081198,1.19900465955993,0.869760478527801,1.68810268847671,1.4019319758606,1.81192493916439,"Child Poverty",69,92
"28","S02001765","Dalgety Bay West and Hillend","Fife",49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%","Child Poverty","Raw data","2023/24",2.34700276279475,"Child Poverty (%)","No",0.611483030153864,1.73715109389939,1.26884564606695,1.37646117875113,-0.100387400420433,-1.07768700554102,"Child Poverty",42,44
"29","S02001766","Dalgety Bay Central","Fife",46,"Accessible Small Town, Dep - OP, HH Inc 50-100%","Child Poverty","Raw data","2023/24",7.17833568215827,"Child Poverty (%)","No",-0.357533097363006,-0.51142555628929,-0.398681130853204,-1.40954631167813,-0.481802140943128,-0.448490964679813,"Child Poverty",37,57
"30","S02001767","Dalgety Bay East","Fife",45,"Accessible Small Town, Dep - OP, HH Inc 0-50%","Child Poverty","Raw data","2023/24",7.26835741749516,"Child Poverty (%)","No",0.154838296183747,0.677518898852203,0.483030735652577,1.18642206087836,-0.994137220282164,1.75993325405574,"Child Poverty",33,91
"31","S02001768","Crossgates and Halbeath","Fife",43,"Other Urban, Dep - Average, HH Inc 60-80%","Child Poverty","Raw data","2023/24",13.2289837508756,"Child Poverty (%)","No",0.078409358348315,0.500167542011671,0.351508362852925,0.458896628480738,-0.363446401032443,-1.3733701325648,"Child Poverty",39,41
"32","S02001769","Hill of Beath and Kingseat","Fife",29,"Other Urban, Dep - Child, HH Inc 40-60%","Child Poverty","Raw data","2023/24",24.1463922252418,"Child Poverty (%)","No",0.122378793704868,0.6021974699532,0.42717295577461,0.499464870400974,4.94921084162909,0.828210284534729,"Child Poverty",100,78
"33","S02001770","Cowdenbeath South","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",25.4926284419262,"Child Poverty (%)","No",-0.00973934575704116,0.295620773214736,0.199818086218253,0.481834547346193,0.0225869319860573,-2.14676973454324,"Child Poverty",46,34
