CPP,Indicator,Type,Year,value,IndicatorFullName,FG
Aberdeen City,Healthy Birthweight,Raw data,2009/10,90.01192602044999,Healthy Birthweight,1
Aberdeenshire,Healthy Birthweight,Raw data,2009/10,89.49593392304723,Healthy Birthweight,1
Angus,Healthy Birthweight,Raw data,2009/10,90.11293620788857,Healthy Birthweight,2
Argyll and Bute,Healthy Birthweight,Raw data,2009/10,89.86548708000713,Healthy Birthweight,2
Clackmannanshire,Healthy Birthweight,Raw data,2009/10,88.24723649245611,Healthy Birthweight,3
Dumfries and Galloway,Healthy Birthweight,Raw data,2009/10,89.38649404865487,Healthy Birthweight,3
Dundee City,Healthy Birthweight,Raw data,2009/10,90.05440421470956,Healthy Birthweight,4
East Ayrshire,Healthy Birthweight,Raw data,2009/10,89.0299064165265,Healthy Birthweight,4
East Dunbartonshire,Healthy Birthweight,Raw data,2009/10,89.0020138878021,Healthy Birthweight,1
East Lothian,Healthy Birthweight,Raw data,2009/10,89.37354962017197,Healthy Birthweight,2
East Renfrewshire,Healthy Birthweight,Raw data,2009/10,88.5491857982323,Healthy Birthweight,1
"Edinburgh, City of",Healthy Birthweight,Raw data,2009/10,89.43562936667485,Healthy Birthweight,1
Eilean Siar,Healthy Birthweight,Raw data,2009/10,86.27222723562915,Healthy Birthweight,4
Falkirk,Healthy Birthweight,Raw data,2009/10,89.0450657185708,Healthy Birthweight,3
Fife,Healthy Birthweight,Raw data,2009/10,88.71063558008723,Healthy Birthweight,3
Glasgow City,Healthy Birthweight,Raw data,2009/10,89.28043047320325,Healthy Birthweight,4
Highland,Healthy Birthweight,Raw data,2009/10,89.88499923961042,Healthy Birthweight,2
Inverclyde,Healthy Birthweight,Raw data,2009/10,89.75438600075563,Healthy Birthweight,4
Midlothian,Healthy Birthweight,Raw data,2009/10,88.67989272371672,Healthy Birthweight,2
Moray,Healthy Birthweight,Raw data,2009/10,90.91190818586549,Healthy Birthweight,2
North Ayrshire,Healthy Birthweight,Raw data,2009/10,88.82219758326333,Healthy Birthweight,4
North Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01558514613468,Healthy Birthweight,4
Orkney Islands,Healthy Birthweight,Raw data,2009/10,89.25936950976786,Healthy Birthweight,1
Perth and Kinross,Healthy Birthweight,Raw data,2009/10,88.98923353818499,Healthy Birthweight,1
Renfrewshire,Healthy Birthweight,Raw data,2009/10,89.04229359629763,Healthy Birthweight,3
Scotland,Healthy Birthweight,Raw data,2009/10,89.29640292082894,Healthy Birthweight,NA
Scottish Borders,Healthy Birthweight,Raw data,2009/10,89.0966319034028,Healthy Birthweight,2
Shetland Islands,Healthy Birthweight,Raw data,2009/10,90.09942438513868,Healthy Birthweight,1
South Ayrshire,Healthy Birthweight,Raw data,2009/10,89.82329625308815,Healthy Birthweight,3
South Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01681896112136,Healthy Birthweight,3
Stirling,Healthy Birthweight,Raw data,2009/10,88.87979559052451,Healthy Birthweight,2
West Dunbartonshire,Healthy Birthweight,Raw data,2009/10,88.97097741338096,Healthy Birthweight,4
West Lothian,Healthy Birthweight,Raw data,2009/10,89.4584807039552,Healthy Birthweight,3
Aberdeen City,Healthy Birthweight,Raw data,2010/11,90.08167844324916,Healthy Birthweight,1
Aberdeenshire,Healthy Birthweight,Raw data,2010/11,90.03955071472039,Healthy Birthweight,1
Angus,Healthy Birthweight,Raw data,2010/11,90.17052360849492,Healthy Birthweight,2
Argyll and Bute,Healthy Birthweight,Raw data,2010/11,89.78026952334561,Healthy Birthweight,2
Clackmannanshire,Healthy Birthweight,Raw data,2010/11,88.95702203490755,Healthy Birthweight,3
Dumfries and Galloway,Healthy Birthweight,Raw data,2010/11,88.8707316508877,Healthy Birthweight,3
Dundee City,Healthy Birthweight,Raw data,2010/11,89.99585624075372,Healthy Birthweight,4
East Ayrshire,Healthy Birthweight,Raw data,2010/11,89.45563489609201,Healthy Birthweight,4
East Dunbartonshire,Healthy Birthweight,Raw data,2010/11,88.57818808314964,Healthy Birthweight,1
East Lothian,Healthy Birthweight,Raw data,2010/11,89.68666213256184,Healthy Birthweight,2
East Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.0370821392092,Healthy Birthweight,1
"Edinburgh, City of",Healthy Birthweight,Raw data,2010/11,89.38967318768944,Healthy Birthweight,1
Eilean Siar,Healthy Birthweight,Raw data,2010/11,87.13648478437868,Healthy Birthweight,4
Falkirk,Healthy Birthweight,Raw data,2010/11,89.16177469468222,Healthy Birthweight,3
Fife,Healthy Birthweight,Raw data,2010/11,88.6014658955247,Healthy Birthweight,3
Glasgow City,Healthy Birthweight,Raw data,2010/11,89.5155104596072,Healthy Birthweight,4
Highland,Healthy Birthweight,Raw data,2010/11,89.90391582164683,Healthy Birthweight,2
Inverclyde,Healthy Birthweight,Raw data,2010/11,90.7911688091504,Healthy Birthweight,4
Midlothian,Healthy Birthweight,Raw data,2010/11,88.62552216746411,Healthy Birthweight,2
Moray,Healthy Birthweight,Raw data,2010/11,90.53807804588008,Healthy Birthweight,2
North Ayrshire,Healthy Birthweight,Raw data,2010/11,88.75410483224374,Healthy Birthweight,4
North Lanarkshire,Healthy Birthweight,Raw data,2010/11,88.92910352644056,Healthy Birthweight,4
Orkney Islands,Healthy Birthweight,Raw data,2010/11,89.36669468638779,Healthy Birthweight,1
Perth and Kinross,Healthy Birthweight,Raw data,2010/11,89.43453635855225,Healthy Birthweight,1
Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.91463264438751,Healthy Birthweight,3
Scotland,Healthy Birthweight,Raw data,2010/11,89.42084177016964,Healthy Birthweight,NA
Scottish Borders,Healthy Birthweight,Raw data,2010/11,89.61609644398057,Healthy Birthweight,2
Shetland Islands,Healthy Birthweight,Raw data,2010/11,90.33285108915362,Healthy Birthweight,1
South Ayrshire,Healthy Birthweight,Raw data,2010/11,89.8554243117502,Healthy Birthweight,3
South Lanarkshire,Healthy Birthweight,Raw data,2010/11,89.08292933534416,Healthy Birthweight,3
