year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Participation,Emergency Admissions,Depopulation,Early Mortality
2009,Aberdeen City,0.338178663,,,,,0.308560373,0.050519612,
2009,Aberdeenshire,0.242479619,,,,,0.219908992,-0.163241359,
2009,Angus,0.292765172,,,,,0.071796902,-0.071748113,
2009,Argyll and Bute,0.172817447,,,,,0.157904802,-0.000658553,
2009,Clackmannanshire,0.207957882,,,,,0.015464029,-0.07856991,
2009,Dumfries and Galloway,0.182371041,,,,,0.117581439,-0.03261503,
2009,Dundee City,0.244781428,,,,,0.231245288,0.005254409,
2009,East Ayrshire,0.215930619,,,,,0.236808381,-0.049107132,
2009,East Dunbartonshire,0.339307309,,,,,0.344778838,0.021341195,
2009,East Lothian,0.179691945,,,,,0.167663306,0.005729584,
2009,East Renfrewshire,0.355746721,,,,,0.281398185,-0.035949247,
2009,"Edinburgh, City of",0.40835912,,,,,0.324619895,0.127553223,
2009,Eilean Siar,-0.022212586,,,,,-0.033474504,-0.022007744,
2009,Falkirk,0.22638225,,,,,0.169369132,-0.114751225,
2009,Fife,0.323259756,,,,,0.245455605,-0.17547276,
2009,Glasgow City,0.225398986,,,,,0.226708286,-0.043752305,
2009,Highland,0.200507547,,,,,0.158437757,-0.070446744,
2009,Inverclyde,0.333965821,,,,,0.30946429,-0.280439475,
2009,Midlothian,0.239846055,,,,,0.138245863,-0.095725151,
2009,Moray,0.129200015,,,,,0.090344305,-0.012779434,
2009,North Ayrshire,0.280547726,,,,,0.220330537,-0.116586231,
2009,North Lanarkshire,0.177860069,,,,,0.122050553,-0.020317579,
2009,Orkney Islands,-0.005622304,,,,,-0.011457995,-0.140429955,
2009,Perth and Kinross,0.236672756,,,,,0.195722157,-0.045466221,
2009,Renfrewshire,0.299552784,,,,,0.327324538,-0.036324392,
2009,Scottish Borders,0.193455307,,,,,0.072228061,-0.096413444,
2009,Shetland Islands,0.076253393,,,,,0.048901905,-0.072483094,
2009,South Ayrshire,0.208655492,,,,,0.217567238,0.005848419,
2009,South Lanarkshire,0.238844998,,,,,0.178611292,-0.066751631,
2009,Stirling,0.307709515,,,,,0.312581899,-0.083250376,
2009,West Dunbartonshire,0.200902251,,,,,0.111689294,-0.007253126,
2009,West Lothian,0.204397527,,,,,0.179248358,-0.04273957,
2010,Aberdeen City,0.315805272,,,,,0.288222002,0.048720108,0.316848978
2010,Aberdeenshire,0.252807634,,,,,0.186259549,-0.153777462,0.298589979
2010,Angus,0.306700542,,,,,0.108556664,-0.097570569,0.276543377
2010,Argyll and Bute,0.196233324,,,,,0.14280568,-0.001866626,0.211220857
2010,Clackmannanshire,0.178527735,,,,,0.123169256,-0.098400087,0.207989092
