"AreaLabel","CPP","InterZone_Name","Most_Deprived_Comm","CPPScore","Child.Poverty_2014.15","Child.Poverty_2023.24","Attainment_2013.14","Attainment_2023.24","Participation.Rate_2016.17","Participation.Rate_2023.24","Out.of.Work.Benefits_2013.14","Out.of.Work.Benefits_2023.24","Crime.Rate_2012.13","Crime.Rate_2023.24","Emergency.Admissions_2012.13","Emergency.Admissions_2023.24","Early.Mortality_2012.13","Early.Mortality_2023.24","Depopulation_2012.13","Depopulation_2023.24"
"Aberdeen City","Aberdeen City","Heathryfold and Middlefield","1st Most Vulnerable","Faster",23.8,18.9,4.3,4.5,82.8,84.5,16.8,27.2,2369.7,1989,34320.6,26649,584,743.3,100,111.7
"Aberdeenshire","Aberdeenshire","Fraserburgh Harbour and Broadsea","1st Most Vulnerable","Slower",27.4,24.6,4.6,4.2,81.5,86.2,16.9,27.2,4026.6,3432.9,28729.3,25750.6,798,723.5,100,111.2
"Angus","Angus","Arbroath Harbour","1st Most Vulnerable","Faster",23.3,36.7,5,4.9,77.7,85.2,18.5,26.7,2401.7,3007.3,24923.4,29914.5,617,687.7,100,106.2
"Argyll and Bute","Argyll and Bute","Dunoon","1st Most Vulnerable","Slower",18.5,20.2,5.4,5.2,93.4,91.5,20.1,25.1,2922.2,1954.5,30464.9,24927.5,585,505.1,100,107.9
"Clackmannanshire","Clackmannanshire","Alloa South and East","1st Most Vulnerable","Faster",38.6,36.6,4.5,4.8,74,84.3,32.2,37.1,3832.6,3627.2,22923.1,25308.4,624,712.6,100,101.4
"Dumfries and Galloway","Dumfries and Galloway","Lochside and Lincluden","1st Most Vulnerable","Faster",30.3,29.1,4.9,5,81.7,89.2,24.5,33,1219.8,2194.8,31317.5,36307.2,597,787.4,100,113.5
"Dundee City","Dundee City","Douglas East","1st Most Vulnerable","Faster",23.3,32.7,4.7,4.7,78.1,85.6,26,34.2,1363.4,2314.3,34375,29870.5,682,792.5,100,111.8
"East Ayrshire","East Ayrshire","Altonhill South, Longpark and Hillhead","1st Most Vulnerable","Slower",24,21.5,4.8,5,79.7,88.8,28.2,31.5,4175.3,1979.4,31250,34021.9,961,711,100,94.9
"East Dunbartonshire","East Dunbartonshire","Hillhead","1st Most Vulnerable","Faster",23.2,19,5.2,5.4,88.1,95.3,23.5,29.5,NA,1122.6,36020.6,32590,641,628.9,100,98.6
"East Lothian","East Lothian","Musselburgh Levenhall","1st Most Vulnerable","Faster",29,15.2,5,5,74.5,95.2,17.3,17.6,1041.7,932.7,24014.3,20670,557,477.3,100,92
"East Renfrewshire","East Renfrewshire","Auchenback","1st Most Vulnerable","Faster",21.4,22.9,5.4,5.4,88.1,92.8,19.8,23.2,1397.5,895.4,34469.7,28520.9,585,826.1,100,99.1
"Edinburgh, City of","Edinburgh, City of","Craigmillar","1st Most Vulnerable","Slower",27.8,19.2,4.4,5.2,83.5,90.4,24.3,17.8,3228.6,2115.3,39510.5,31685.7,1669,1031.2,100,41.1
"Eilean Siar","Eilean Siar","Stornoway West","1st Most Vulnerable","Faster",16.6,17.9,5.8,4.9,96.4,93.9,13.1,17.8,374.3,2814.4,28278,29587.7,603,686.2,100,115
"Falkirk","Falkirk","Falkirk - Bainsford and Langlees","1st Most Vulnerable","Slower",32.4,33.4,5,4.8,81.9,82,27.6,34.7,2270.5,1497.9,36382.1,37336.3,769,787.4,100,107.2
"Fife","Fife","Methil West","1st Most Vulnerable","Faster",39.5,39,4.5,4.4,76.8,78.4,32.6,45.3,3457.3,3046.3,27992.3,43735.5,693,1056.8,100,104.9
"Glasgow City","Glasgow City","North Barlanark and Easterhouse South","1st Most Vulnerable","Slower",29,26.6,4.6,4.9,83.3,85.9,38.7,41.6,4375.6,1513.3,50349.7,43055.4,1121,1024.6,100,99.9
"Highland","Highland","Inverness Merkinch","1st Most Vulnerable","Faster",33.5,34.8,4.3,4.6,82.6,84.7,29.3,33.2,1846.2,3297.7,33521.1,36358.8,921,889.3,100,100.4
"Inverclyde","Inverclyde","Greenock Town Centre and East Central","1st Most Vulnerable","Slower",26.4,18.9,5.2,5.3,84.4,88.8,32,35.6,8424.5,4645.1,39014.5,33716.3,847,829.9,100,96.6
"Midlothian","Midlothian","Dalkeith","1st Most Vulnerable","Faster",23.3,27.4,5,5.1,75.8,90.3,25.7,30.2,4406.7,2949.2,24677.7,23442.7,648,707.6,100,96.6
"Moray","Moray","Elgin Cathedral to Ashgrove and Pinefield","1st Most Vulnerable","Faster",18.7,28.1,5.4,4.9,85.7,92.1,13.9,21.1,2008.6,2371.6,21118,22644.3,550,575.5,100,111.5
"North Ayrshire","North Ayrshire","Irvine Fullarton","1st Most Vulnerable","Slower",30.3,34,5.2,4.9,81.3,78.2,34,41.1,6091.8,5627.6,39593.1,35498.8,792,809.7,100,126.4
"North Lanarkshire","North Lanarkshire","Craigneuk Wishaw","1st Most Vulnerable","Slower",33.4,27.8,4.4,4.4,79.2,82.4,31.6,34.9,4645.2,2981,39966.8,33932.7,887,1094.7,100,92.9
"Orkney Islands","Orkney Islands","East Kirkwall","1st Most Vulnerable","Slower",14.8,17.2,5.4,5.4,94.1,87.7,7.5,12.4,444.3,1022.6,27397.3,21296.3,408,371.2,100,106.1
"Perth and Kinross","Perth and Kinross","Muirton","1st Most Vulnerable","Faster",16.3,21.5,5,5,90.6,81.9,12.7,19.8,1257,1222.2,27294.7,40157.1,528,650.6,100,87
"Renfrewshire","Renfrewshire","Paisley Ferguslie","1st Most Vulnerable","Slower",24.4,28.9,4.6,5.1,83.3,85.1,34.2,32.7,4446.4,1528.8,44444.4,28700.3,1080,817.9,100,100.5
"Scottish Borders","Scottish Borders","Langlee","1st Most Vulnerable","Faster",27.8,32.6,4.7,5.2,83.2,86.8,22.3,32.1,1107.4,1933,29047.6,21070.4,616,547,100,114.8
"Shetland Islands","Shetland Islands","Lerwick North","1st Most Vulnerable","Faster",10.2,12.8,5.4,5.5,97.3,98.2,8.4,12.5,428.3,1485.1,29466.1,23913.6,465,515.7,100,107.7
"South Ayrshire","South Ayrshire","Lochside, Braehead and Whitletts","1st Most Vulnerable","Faster",31.2,29,4.7,4.8,78.5,87.6,29.5,38.1,3605.2,2294.3,34761.1,35492.7,641,760.7,100,101.6
"South Lanarkshire","South Lanarkshire","Fairhill","1st Most Vulnerable","Faster",30.4,30.1,4.9,5,78,87.9,26.1,30.4,2672.8,2396.3,30860.5,36794.2,717,615.1,100,101
"Stirling","Stirling","Raploch","1st Most Vulnerable","Slower",36.2,26.7,4.5,4.7,78.9,81.3,31,26.2,3310.8,1909.8,35920.2,28204,881,929,100,70.3
"West Dunbartonshire","West Dunbartonshire","Singer & Clydebank South","1st Most Vulnerable","Faster",23,23.2,5.2,5.1,82.3,90.8,24.1,29.1,5833.3,653.7,40108.4,38722.5,990,907.8,100,93.7
"West Lothian","West Lothian","Craigshill","1st Most Vulnerable","Faster",20.8,29.6,5,5.1,82.8,90,19.8,26.9,1249,1520.2,41893.6,33371.8,618,662.2,100,113.2
