"AreaLabel","CPP","Most_Deprived_Comm","Participation Rate_2020/21_CPPScore","Child Poverty_2014/15","Child Poverty_2020/21","Child Poverty_2020/21_Change","Crime Rate_2009/10","Crime Rate_2020/21","Crime Rate_2020/21_Change","Depopulation_2009/10","Depopulation_2020/21","Depopulation_2020/21_Change","Early Mortality_2010/11","Early Mortality_2020/21","Early Mortality_2020/21_Change","Emergency Admissions_2009/10","Emergency Admissions_2020/21","Emergency Admissions_2020/21_Change","Out of Work Benefits_2012/13","Out of Work Benefits_2020/21","Out of Work Benefits_2020/21_Change","Participation Rate_2015/16","Participation Rate_2020/21","Participation Rate_2020/21_Change","Attainment_2013/14","Attainment_2020/21","Attainment_2020/21_Change","InterZone_Name"
"Aberdeen City","Aberdeen City","1st Most Vulnerable","Faster",20.18,22.99,"Faster",1775,485,"Faster",91.41,93.17,"Slower",694,734,"Slower",36347,29244,"Faster",17.55,26.93,"Faster",82.81,80.93,"Slower",4.34,4.91,"Faster","Heathryfold and Middlefield"
"Aberdeenshire","Aberdeenshire","1st Most Vulnerable","Faster",25.87,22.99,"Faster",1717,1520,"Slower",96.32,95,"Slower",863,623,"Faster",27519,20588,"Faster",17.37,25.17,"Faster",81.52,84.35,"Faster",4.55,4.53,"Slower","Fraserburgh Harbour and Broadsea"
"Angus","Angus","1st Most Vulnerable","Faster",20.63,22.53,"Faster",1451,857,"Faster",94.72,93.22,"Faster",628,689,"Slower",29970,20057,"Faster",19.06,29.76,"Faster",77.65,88.89,"Faster",4.96,5.2,"Faster","Arbroath Harbour"
"Argyll and Bute","Argyll and Bute","1st Most Vulnerable","Slower",15.3,21.1,"Slower",1118,629,"Faster",98.46,108.23,"Slower",594,543,"Slower",28454,19096,"Faster",20.11,26.01,"Faster",93.36,91.57,"Slower",5.43,5.5,"Faster","Dunoon"
"Clackmannanshire","Clackmannanshire","1st Most Vulnerable","Faster",34.45,33.41,"Faster",2232,1770,"Slower",100.98,109.4,"Slower",675,745,"Slower",21167,27681,"Slower",32.22,39.77,"Faster",74.01,86.36,"Faster",4.46,4.63,"Faster","Alloa South and East"
"Dumfries and Galloway","Dumfries and Galloway","1st Most Vulnerable","Faster",26.24,30.59,"Slower",1197,792,"Faster",102,110.72,"Slower",616,644,"Slower",28808,25961,"Faster",24.31,32.33,"Faster",81.66,85.34,"Faster",4.91,5.05,"Faster","Lochside and Lincluden"
"Dundee City","Dundee City","1st Most Vulnerable","Faster",19.61,21.4,"Slower",910,516,"Faster",103.61,108.48,"Slower",738,737,"Slower",31068,35363,"Slower",25.98,35.01,"Slower",78.12,88.64,"Faster",4.73,4.87,"Faster","Douglas East"
"East Ayrshire","East Ayrshire","1st Most Vulnerable","Faster",23.19,24.36,"Faster",2226,892,"Faster",83.81,71.73,"Faster",1007,671,"Faster",37179,29319,"Faster",28.57,32.72,"Faster",79.7,84,"Faster",4.85,4.92,"Faster","Altonhill South, Longpark and Hillhead"
"East Dunbartonshire","East Dunbartonshire","1st Most Vulnerable","Faster",19.71,19.49,"Slower",1134,629,"Faster",109.97,106.66,"Faster",682,624,"Slower",40592,34911,"Slower",23.74,32.23,"Faster",88.12,92.12,"Faster",5.21,5.59,"Faster","Hillhead"
"East Lothian","East Lothian","1st Most Vulnerable","Faster",26.06,18.23,"Faster",724,586,"Slower",99.13,92.65,"Slower",577,505,"Slower",26429,21495,"Faster",17.7,23.62,"Faster",74.51,91.57,"Faster",4.96,5.13,"Faster","Musselburgh Levenhall"
"East Renfrewshire","East Renfrewshire","1st Most Vulnerable","Faster",19.58,19.9,"Faster",627,367,"Faster",103.33,95.94,"Faster",626,536,"Slower",23370,25885,"Slower",20.19,22.5,"Faster",88.07,91.22,"Faster",5.38,5.46,"Slower","Auchenback"
"Edinburgh, City of","Edinburgh, City of","1st Most Vulnerable","Faster",27.05,27.53,"Faster",2769,1241,"Faster",96.92,45.72,"Faster",1591,1346,"Faster",32550,27320,"Faster",25.87,24.09,"Faster",83.54,89.85,"Faster",4.42,5.15,"Faster","Craigmillar"
"Eilean Siar","Eilean Siar","1st Most Vulnerable","Slower",12.99,17.53,"Slower",1250,780,"Slower",97.84,104.04,"Slower",577,596,"Slower",27796,32692,"Slower",13.21,18.81,"Slower",96.43,93.18,"Slower",5.76,5.53,"Slower","Stornoway West"
"Falkirk","Falkirk","1st Most Vulnerable","Faster",27.77,27.21,"Faster",1512,841,"Faster",92.42,89.91,"Faster",780,771,"Slower",24701,33036,"Slower",27.79,32.95,"Faster",81.87,84.52,"Faster",4.95,5.01,"Slower","Falkirk - Bainsford and Langlees"
"Fife","Fife","1st Most Vulnerable","Slower",31.19,29.92,"Faster",1422,985,"Slower",104.17,109.05,"Slower",690,986,"Slower",28256,26465,"Slower",32.53,43.55,"Faster",76.79,73.95,"Slower",4.52,4.31,"Slower","Methil West"
"Glasgow City","Glasgow City","1st Most Vulnerable","Faster",26.12,26.64,"Faster",2164,849,"Faster",108.99,108.81,"Slower",985,892,"Slower",38750,33791,"Slower",39.4,40.11,"Faster",83.27,84.78,"Slower",4.61,4.99,"Faster","North Barlanark and Easterhouse South"
"Highland","Highland","1st Most Vulnerable","Faster",30.23,30.95,"Faster",2243,1310,"Slower",89.9,88.49,"Faster",946,773,"Faster",28889,33820,"Slower",30.1,38.02,"Faster",82.61,84.71,"Faster",4.35,4.68,"Faster","Inverness Merkinch"
"Inverclyde","Inverclyde","1st Most Vulnerable","Faster",24.23,16.1,"Faster",1593,1466,"Slower",112,123.9,"Slower",946,848,"Faster",42222,31997,"Faster",32.58,40.92,"Slower",84.38,93.67,"Faster",5.18,5.24,"Slower","Greenock Town Centre and East Central"
"Midlothian","Midlothian","1st Most Vulnerable","Faster",20.57,24.95,"Slower",2225,1502,"Faster",104.8,104.74,"Slower",706,580,"Faster",26894,24390,"Faster",25.57,33.15,"Faster",75.78,83.76,"Faster",5.02,4.94,"Slower","Dalkeith"
"Moray","Moray","1st Most Vulnerable","Slower",16.23,23.14,"Slower",1289,554,"Faster",100.92,104.34,"Slower",550,623,"Slower",23107,22444,"Slower",13.77,20.84,"Faster",85.71,89.68,"Faster",5.39,5.13,"Slower","Elgin Cathedral to Ashgrove and Pinefield"
"North Ayrshire","North Ayrshire","1st Most Vulnerable","Faster",30.07,28.34,"Faster",1600,1071,"Faster",95.73,102.61,"Slower",834,757,"Slower",30333,26266,"Faster",34.03,39.07,"Faster",81.31,86.96,"Faster",5.22,4.7,"Slower","Irvine Fullarton"
"North Lanarkshire","North Lanarkshire","1st Most Vulnerable","Slower",27.44,28.88,"Faster",1800,1433,"Slower",94.14,83.93,"Faster",961,1067,"Slower",30972,31140,"Slower",32.12,36.49,"Faster",79.25,78.47,"Slower",4.45,4.41,"Slower","Craigneuk Wishaw"
"Orkney Islands","Orkney Islands","1st Most Vulnerable","Faster",13.83,11.96,"Faster",458,235,"Faster",107.29,114.07,"Slower",608,450,"Faster",22167,20221,"Faster",7.51,11.88,"Slower",94.06,96,"Faster",5.38,5.64,"Faster","East Kirkwall"
"Perth and Kinross","Perth and Kinross","1st Most Vulnerable","Faster",16.14,22.4,"Slower",1366,473,"Faster",101.78,78.24,"Faster",504,612,"Slower",27877,28265,"Slower",13.03,20.01,"Slower",90.58,88.04,"Slower",5.05,5.36,"Faster","Muirton"
