InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High is Positive,Change,OverallZScore,CPPChangeScore,TypeChangeScore
S02001236,Culter,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,7.81416991173379,Child Poverty (%),No,-0.36885926822086557,-0.5377076403576868,0.08360149089115497,-0.40666294847684165
S02001237,"Cults, Bieldside and Milltimber West",Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,3.99003065673044,Child Poverty (%),No,-2.134293769319776,-4.63435235439461,-2.684522999417416,-3.9393445177085784
S02001238,"Cults, Bieldside and Milltimber East",Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,1.77906797064407,Child Poverty (%),No,-0.16715604274562423,-0.06966056643169102,0.3998633730876928,-0.0030494093467049836
S02001239,Garthdee,Aberdeen City,11,"Large Urban, Dep - Student, HH Inc 30-40%",Child Poverty,Raw data,2023/24,13.2816809848594,Child Poverty (%),No,-0.010090032935825999,0.29480701276292903,0.6461360431181682,0.22614140863825274
S02001240,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2023/24,4.88097985121971,Child Poverty (%),No,-0.33737500967697986,-0.46464923957368914,0.13296743852630546,-0.33460857257699833
S02001241,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,2,"Large Urban, Dep - OP, HH Inc 70-90%",Child Poverty,Raw data,2023/24,0.976961484808379,Child Poverty (%),No,0.5971273864742306,1.7038391971622653,1.5982265390072463,1.7562217487565097
S02001242,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,2.18433568321521,Child Poverty (%),No,-0.9596972363435612,-1.9087317352507713,-0.842806737987656,-1.588945496535211
S02001243,Hazlehead,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,4.46169554465188,Child Poverty (%),No,-0.5025368159644015,-0.8479029033414442,-0.1259990881634307,-0.6741552903562684
S02001244,Summerhill,Aberdeen City,17,"Large Urban, Dep  - Adult, HH Inc 20-40%",Child Poverty,Raw data,2023/24,15.81205952814,Child Poverty (%),No,-0.3230144674982185,-0.4313259759970978,0.15548414388942977,-0.31106889449055786
S02001245,Midstocket,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,2.3722070251816,Child Poverty (%),No,0.17657104372551746,0.7279491726930478,0.9388124904018287,0.684757667305806
S02001246,Rosemount,Aberdeen City,12,"Large Urban, Dep - Student, HH Inc 40-60%",Child Poverty,Raw data,2023/24,9.23614334471174,Child Poverty (%),No,0.2799101154496477,0.967744793356758,1.1008436589709605,0.9568543820245847
S02001247,West End North,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,1.91309753016603,Child Poverty (%),No,-0.8587237113008375,-1.674425303963478,-0.68448464369893125,-1.3868947771928883
S02001248,West End South,Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2023/24,5.1397898457426,Child Poverty (%),No,-0.255449659058661,-0.27454360022697394,0.26142282403198347,-0.1796033228028249
S02001249,City Centre West,Aberdeen City,12,"Large Urban, Dep - Student, HH Inc 40-60%",Child Poverty,Raw data,2023/24,22.9594673021238,Child Poverty (%),No,-0.6940113115011208,-1.2922144762290986,-0.42622276682993077,-2.196539534603507
S02001250,City Centre East,Aberdeen City,11,"Large Urban, Dep - Student, HH Inc 30-40%",Child Poverty,Raw data,2023/24,28.7735263973305,Child Poverty (%),No,-0.7095071370814015,-1.3281721353286462,-0.45051954717472675,-1.2193205808778596
S02001251,Ferryhill North,Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2023/24,6.05023026882667,Child Poverty (%),No,0.01750971764712772,0.35885151413866156,0.6894112512709073,0.3368441021413994
S02001252,Ferryhill South,Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2023/24,4.7923973077695,Child Poverty (%),No,-0.7529179823200878,-1.4289058694707184,-0.518585863866399,-1.120828488394421
S02001253,"Kincorth, Leggart and Nigg North",Aberdeen City,21,"Large Urban, Dep - Average,HH Inc 0-50%",Child Poverty,Raw data,2023/24,15.741459023878,Child Poverty (%),No,0.04334056558420618,0.41879132306085926,0.7299128970332144,0.5897910995077624
S02001254,"Kincorth, Leggart and Nigg South",Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2023/24,9.95623241759943,Child Poverty (%),No,0.1417467216836099,0.6471402416768598,0.8842094685153791,0.5719042843258854
S02001255,Cove South,Aberdeen City,20,"Large Urban, Dep  - Adult, HH Inc 80-100%",Child Poverty,Raw data,2023/24,6.91474061259447,Child Poverty (%),No,-1.2635935298452043,-2.6139151581497724,-1.3193029048135978,-2.013592722279105
S02001256,Cove North,Aberdeen City,18,"Large Urban, Dep  - Adult, HH Inc 40-60%",Child Poverty,Raw data,2023/24,13.8718972119145,Child Poverty (%),No,-1.4033061919641883,-2.9381147466349278,-1.5383662806437604,-2.2137905332599073
S02001257,Torry West,Aberdeen City,16,"Large Urban, Dep  - Adult, HH Inc 10-20%",Child Poverty,Raw data,2023/24,27.6695566954522,Child Poverty (%),No,-0.21325648631332017,-0.17663544334658268,0.32757988323043996,0.24474593929015237
S02001258,Torry East,Aberdeen City,4,"Large Urban, Dep - Child,HH Inc 0-10%",Child Poverty,Raw data,2023/24,26.8646146315035,Child Poverty (%),No,-0.05705660790283629,0.1858223005262206,0.5724944969089096,0.3335173241664007
S02001259,Hanover South,Aberdeen City,11,"Large Urban, Dep - Student, HH Inc 30-40%",Child Poverty,Raw data,2023/24,12.5849054344121,Child Poverty (%),No,0.4309934978526999,1.3183298416918967,1.3377358295092732,1.1377140227155764
S02001260,Hanover North,Aberdeen City,11,"Large Urban, Dep - Student, HH Inc 30-40%",Child Poverty,Raw data,2023/24,11.6868841256705,Child Poverty (%),No,0.12418226196459237,0.6063823710121377,0.8566691598395338,0.5036374798284938
S02001261,George Street,Aberdeen City,10,"Large Urban, Dep - Student, HH Inc 20-30%",Child Poverty,Raw data,2023/24,26.3910142332523,Child Poverty (%),No,-0.6396860850998849,-1.1661542052663676,-0.34104317531905104,-1.2616104645903623
S02001262,Ashgrove,Aberdeen City,11,"Large Urban, Dep - Student, HH Inc 30-40%",Child Poverty,Raw data,2023/24,11.6110980226504,Child Poverty (%),No,-0.007055366918371053,0.30184887610678907,0.6508942674066339,0.23241305162940606
S02001263,"Froghall, Powis and Sunnybank",Aberdeen City,12,"Large Urban, Dep - Student, HH Inc 40-60%",Child Poverty,Raw data,2023/24,22.2536871704982,Child Poverty (%),No,-0.11153308770101678,0.059411050000845254,0.4870777466520872,-0.3105729292169378
S02001264,Seaton,Aberdeen City,9,"Large Urban, Dep - Student, HH Inc 0-20%",Child Poverty,Raw data,2023/24,24.6342596077247,Child Poverty (%),No,-0.3466599105545245,-0.48619460989282226,0.11840911790142782,-0.09027511911178235
S02001265,Old Aberdeen,Aberdeen City,9,"Large Urban, Dep - Student, HH Inc 0-20%",Child Poverty,Raw data,2023/24,28.0999219933596,Child Poverty (%),No,-0.383492377679411,-0.5716633891979637,0.060657411891706245,-0.16994904714859121
S02001266,Tillydrone,Aberdeen City,4,"Large Urban, Dep - Child,HH Inc 0-10%",Child Poverty,Raw data,2023/24,24.655358367072,Child Poverty (%),No,-0.014402354016459284,0.2848003841685462,0.6393745112766047,0.505770318161183
S02001267,Woodside,Aberdeen City,4,"Large Urban, Dep - Child,HH Inc 0-10%",Child Poverty,Raw data,2023/24,25.7944944737235,Child Poverty (%),No,-0.0021200282654321168,0.31330120072826856,0.6586326636964215,0.5553707024386665
S02001268,Hilton,Aberdeen City,18,"Large Urban, Dep  - Adult, HH Inc 40-60%",Child Poverty,Raw data,2023/24,15.3355520983825,Child Poverty (%),No,-0.7437077032924706,-1.4075336572080674,-0.5041445470556917,-0.839482704898574
S02001269,Stockethill,Aberdeen City,15,"Large Urban, Dep  - Adult, HH Inc 0-10%",Child Poverty,Raw data,2023/24,19.3104753313379,Child Poverty (%),No,-0.2351531878350801,-0.22744616812177296,0.2932468078874399,0.03703021379618017
S02001270,Mastrick,Aberdeen City,21,"Large Urban, Dep - Average,HH Inc 0-50%",Child Poverty,Raw data,2023/24,19.5858688305356,Child Poverty (%),No,-0.12505748608587108,0.028028036289854678,0.46587207838033784,0.04996132764005123
S02001271,Sheddocksley,Aberdeen City,21,"Large Urban, Dep - Average,HH Inc 0-50%",Child Poverty,Raw data,2023/24,15.0991009418414,Child Poverty (%),No,-0.38539007604701037,-0.5760669487645311,0.05768190341302832,-0.7845808850203817
S02001272,Cummings Park,Aberdeen City,21,"Large Urban, Dep - Average,HH Inc 0-50%",Child Poverty,Raw data,2023/24,13.7435846387272,Child Poverty (%),No,0.3436456403252215,1.1156414164913817,1.200778189082912,1.5524721898197131
S02001273,Northfield,Aberdeen City,5,"Large Urban, Dep - Child,HH Inc 10-20%",Child Poverty,Raw data,2023/24,18.9565911175433,Child Poverty (%),No,-0.1768194738816471,-0.09208430634286088,0.38471153348594905,-0.2366365243846172
S02001274,Heathryfold and Middlefield,Aberdeen City,5,"Large Urban, Dep - Child,HH Inc 10-20%",Child Poverty,Raw data,2023/24,18.9443974988545,Child Poverty (%),No,0.24977986468013658,0.8978283322981955,1.0536007366182443,1.7006537308260017
S02001275,Kingswells,Aberdeen City,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Child Poverty,Raw data,2023/24,4.97891277751018,Child Poverty (%),No,-1.4061218361415158,-2.9446483755112625,-1.5427810882157227,-1.3982824799361897
S02001276,Bucksburn South,Aberdeen City,17,"Large Urban, Dep  - Adult, HH Inc 20-40%",Child Poverty,Raw data,2023/24,11.542464599074,Child Poverty (%),No,-0.14789810437791306,-0.02497302273169806,0.4300589826078036,0.2463190311309788
S02001277,Bucksburn North,Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2023/24,15.4255983370832,Child Poverty (%),No,-0.6814710787333516,-1.263115193163713,-0.4065602274284265,-0.9856487784210222
S02001278,Dyce,Aberdeen City,1,"Large Urban, Dep - OP, HH Inc 0- 70%",Child Poverty,Raw data,2023/24,11.289750393235,Child Poverty (%),No,-0.22108199494906589,-0.1947943320322422,0.31530982614803604,-0.5837094123450922
S02001279,Danestone,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,4.20931981369809,Child Poverty (%),No,-0.015976736851675888,0.281147069862212,0.6369059474864602,0.29946441784335087
S02001280,Oldmachar West,Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2023/24,6.09815490721259,Child Poverty (%),No,-1.7090604781548717,-3.647609593108997,-2.0177756991718443,-2.929879109087554
S02001281,Oldmachar East,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,5.89044666251636,Child Poverty (%),No,-0.38061628608709497,-0.5649894936717271,0.06516699838053099,-0.4301890551091205
S02001282,Balgownie and Donmouth West,Aberdeen City,21,"Large Urban, Dep - Average,HH Inc 0-50%",Child Poverty,Raw data,2023/24,10.3057651274968,Child Poverty (%),No,-0.42026325663315256,-0.6569892547582954,0.003002273454870333,-0.8963730401754866
S02001283,Balgownie and Donmouth East,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2023/24,11.9802403022697,Child Poverty (%),No,-1.5462503232436458,-3.2698128750243316,-1.7624964595284771,-2.7626538828718945
S02001284,Denmore,Aberdeen City,8,"Large Urban, Dep - Child,HH Inc 70-100%",Child Poverty,Raw data,2023/24,5.13229544355495,Child Poverty (%),No,-2.3808675465952955,-5.2065203734670344,-3.071139954687861,-4.343538042427412
S02001285,East Cairngorms,Aberdeenshire,64,"Remote Rural, Dep - OP, HH Inc 50-100%",Child Poverty,Raw data,2023/24,16.1377745064107,Child Poverty (%),No,-1.3776443361979225,-2.8785670796374756,-1.9410511485424444,-2.6319014269871044
S02001286,Aboyne and South Deeside,Aberdeenshire,67,"Remote Rural, Dep - not OP, HH Inc 80-100%",Child Poverty,Raw data,2023/24,10.3784924832664,Child Poverty (%),No,-0.3115352051525331,-0.40468864712410746,0.007363769539784904,-0.9603887612167233
S02001287,Mearns and Laurencekirk,Aberdeenshire,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Child Poverty,Raw data,2023/24,7.00947796652055,Child Poverty (%),No,-0.10480008024116283,0.07503481820227824,0.3851916951611794,0.3043113431823599
S02001288,Mearns South and Benholm,Aberdeenshire,61,"Accessible Rural, Dep - not OP or Child, HH Inc 80-100%",Child Poverty,Raw data,2023/24,12.73212303065,Child Poverty (%),No,-0.27204633317372107,-0.31305574963933264,0.07953340491877399,-0.4994480680468026
S02001289,Mearns North and Inverbervie,Aberdeenshire,58,"Accessible Rural, Dep -Child, HH Inc 90-100%",Child Poverty,Raw data,2023/24,6.80285147742718,Child Poverty (%),No,-0.18520890604279128,-0.11155176486104985,0.23823698745340166,0.29335807487279936
