Strategic Area,InterZone,SAChangeScore,Indicator
South West Fife,S02001738,0.13044937057083106,Child Poverty
South West Fife,S02001739,0.4966870840246531,Child Poverty
South West Fife,S02001740,-0.3505575935215096,Child Poverty
South West Fife,S02001741,-0.027063132536402752,Child Poverty
South West Fife,S02001742,-2.5507289023410142,Child Poverty
South West Fife,S02001743,-1.6835765872698665,Child Poverty
Dunfermline,S02001744,-3.093200597964775,Child Poverty
Dunfermline,S02001745,-0.37125390011091003,Child Poverty
Dunfermline,S02001746,0.09703484058792432,Child Poverty
Dunfermline,S02001747,0.10136331989790387,Child Poverty
Dunfermline,S02001748,-0.30974214375553716,Child Poverty
Dunfermline,S02001749,0.8347924272599773,Child Poverty
Dunfermline,S02001750,0.6129139466556601,Child Poverty
Dunfermline,S02001751,0.8035935442968761,Child Poverty
Dunfermline,S02001752,0.6331497021037098,Child Poverty
Dunfermline,S02001753,0.729966854200281,Child Poverty
Dunfermline,S02001754,-0.550520948627312,Child Poverty
Dunfermline,S02001755,0.9525351118464602,Child Poverty
Dunfermline,S02001756,0.1718774583029904,Child Poverty
Dunfermline,S02001757,0.07018131702161827,Child Poverty
Dunfermline,S02001758,-1.0654719386117648,Child Poverty
South West Fife,S02001759,0.1136868660964162,Child Poverty
South West Fife,S02001760,0.511262633467465,Child Poverty
South West Fife,S02001761,0.06882294499931409,Child Poverty
South West Fife,S02001762,0.523572137315514,Child Poverty
South West Fife,S02001763,0.03668646109951883,Child Poverty
South West Fife,S02001764,1.0109830155924295,Child Poverty
South West Fife,S02001765,1.5916413486618017,Child Poverty
South West Fife,S02001766,-0.8345658807512532,Child Poverty
South West Fife,S02001767,0.44830149768247785,Child Poverty
Dunfermline,S02001768,0.3827810068968975,Child Poverty
Cowdenbeath,S02001769,0.031997087817700325,Child Poverty
Cowdenbeath,S02001770,-0.9452133000031169,Child Poverty
Cowdenbeath,S02001771,-0.1947505566881116,Child Poverty
Cowdenbeath,S02001772,0.8663056992529168,Child Poverty
Cowdenbeath,S02001773,-0.3042859909244695,Child Poverty
Cowdenbeath,S02001774,-1.5702981894111951,Child Poverty
Cowdenbeath,S02001775,-0.3656873598199582,Child Poverty
Cowdenbeath,S02001776,1.5167367070682496,Child Poverty
Cowdenbeath,S02001777,1.4466231696539487,Child Poverty
Cowdenbeath,S02001778,-0.48142726694596416,Child Poverty
South West Fife,S02001779,0.5143987369096249,Child Poverty
Kirkcaldy,S02001780,0.7272779599763183,Child Poverty
Kirkcaldy,S02001781,0.10205300416354014,Child Poverty
Kirkcaldy,S02001782,-1.2163052461214738,Child Poverty
Kirkcaldy,S02001783,-0.008429331801192487,Child Poverty
Kirkcaldy,S02001784,-1.9486238811831806,Child Poverty
Kirkcaldy,S02001785,-1.0595392431743886,Child Poverty
Kirkcaldy,S02001786,-0.04634247646284999,Child Poverty
Kirkcaldy,S02001787,0.2984942667118569,Child Poverty
Kirkcaldy,S02001788,0.6459490505367641,Child Poverty
Kirkcaldy,S02001789,0.4122191310874688,Child Poverty
Kirkcaldy,S02001790,0.5069192230546475,Child Poverty
Kirkcaldy,S02001791,0.5340806249109733,Child Poverty
Kirkcaldy,S02001792,1.3458377324719066,Child Poverty
Kirkcaldy,S02001793,0.35605789455807474,Child Poverty
Kirkcaldy,S02001794,-2.07219900132699,Child Poverty
Kirkcaldy,S02001795,1.2575826429656327,Child Poverty
Kirkcaldy,S02001796,0.16496764963289218,Child Poverty
Levenmouth,S02001797,1.160208023495263,Child Poverty
Glenrothes,S02001798,0.5678262023839767,Child Poverty
Glenrothes,S02001799,0.37533302521852235,Child Poverty
Glenrothes,S02001800,0.6674805225273021,Child Poverty
Glenrothes,S02001801,0.5678486987781549,Child Poverty
Glenrothes,S02001802,0.02784757976517277,Child Poverty
Glenrothes,S02001803,0.4362317233223688,Child Poverty
Glenrothes,S02001804,-0.7488424362631858,Child Poverty
Glenrothes,S02001805,0.3689970698604681,Child Poverty
Glenrothes,S02001806,-0.14692051977111978,Child Poverty
Glenrothes,S02001807,-3.1397162493743975,Child Poverty
Glenrothes,S02001808,0.728608175650217,Child Poverty
Glenrothes,S02001809,0.2510090561805731,Child Poverty
Glenrothes,S02001810,0.4729580649545211,Child Poverty
Glenrothes,S02001811,-0.4286609132325734,Child Poverty
Levenmouth,S02001812,0.7497383086940381,Child Poverty
Levenmouth,S02001813,-0.3696813956732813,Child Poverty
Levenmouth,S02001814,-1.9193889640034334,Child Poverty
Levenmouth,S02001815,-0.07185784275093907,Child Poverty
Levenmouth,S02001816,0.9872116952403833,Child Poverty
Levenmouth,S02001817,0.7845174239484574,Child Poverty
Levenmouth,S02001818,0.3198323403147471,Child Poverty
Levenmouth,S02001819,-1.5889754640324156,Child Poverty
Levenmouth,S02001820,0.12815599645651407,Child Poverty
Levenmouth,S02001821,-0.17976012168933314,Child Poverty
North East Fife,S02001822,0.04083487993058081,Child Poverty
North East Fife,S02001823,0.12843651133027956,Child Poverty
North East Fife,S02001824,0.44898347835339575,Child Poverty
North East Fife,S02001825,0.1214894891118234,Child Poverty
North East Fife,S02001826,-0.7870480789034464,Child Poverty
North East Fife,S02001827,0.4346234759647366,Child Poverty
North East Fife,S02001828,0.549762341561296,Child Poverty
North East Fife,S02001829,0.5662865407806326,Child Poverty
North East Fife,S02001830,0.6737213479264723,Child Poverty
North East Fife,S02001831,0.41686597607921133,Child Poverty
North East Fife,S02001832,0.4592948197131991,Child Poverty
North East Fife,S02001833,0.45380575987498806,Child Poverty
North East Fife,S02001834,-1.9791297872505662,Child Poverty
North East Fife,S02001835,0.6996255755405049,Child Poverty
North East Fife,S02001836,0.7761002823455528,Child Poverty
North East Fife,S02001837,-1.0090330589337817,Child Poverty
