InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High is Positive,CPPScore,TypeScore
S02001236,Culter,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2021/22,12.20472440944882,Child Poverty (%),No,0.4361867852929416,-0.041621699841281855
S02001237,"Cults, Bieldside and Milltimber West",Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2021/22,4.275092936802974,Child Poverty (%),No,1.1763963811619207,0.8461041668186219
S02001238,"Cults, Bieldside and Milltimber East",Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2021/22,2.656826568265682,Child Poverty (%),No,1.327457158550566,1.0272698262130056
S02001239,Garthdee,Aberdeen City,11,"Large Urban, Dep - Student, HH Inc 30-40%",Child Poverty,Raw data,2021/22,18.338727076591155,Child Poverty (%),No,-0.13640573063512537,0.736802730100539
S02001240,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2021/22,2.982456140350877,Child Poverty (%),No,1.2970605209782342,1.0439578937719078
S02001241,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,2,"Large Urban, Dep - OP, HH Inc 70-90%",Child Poverty,Raw data,2021/22,1.8404907975460123,Child Poverty (%),No,1.4036598891594547,1.5983658413404542
S02001242,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2021/22,5.025773195876289,Child Poverty (%),No,1.1063224145327915,0.7620651688060213
S02001243,Hazlehead,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2021/22,6.356311548791406,Child Poverty (%),No,0.9821202671950593,0.6131107922324902
S02001244,Summerhill,Aberdeen City,17,"Large Urban, Dep  - Adult, HH Inc 20-40%",Child Poverty,Raw data,2021/22,22.58620689655173,Child Poverty (%),No,-0.5328964543012036,0.33029085165971894
S02001245,Midstocket,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2021/22,3.3457249070631967,Child Poverty (%),No,1.2631503666504407,0.9501473424053769
S02001246,Rosemount,Aberdeen City,12,"Large Urban, Dep - Student, HH Inc 40-60%",Child Poverty,Raw data,2021/22,14.685314685314683,Child Poverty (%),No,0.2046304094450578,1.0882684261810924
S02001247,West End North,Aberdeen City,22,"Large Urban, Dep - Average,HH Inc 50-100%",Child Poverty,Raw data,2021/22,1.7673048600883652,Child Poverty (%),No,1.4104915979690877,1.1268521878938098
S02001248,West End South,Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2021/22,3.651354534746761,Child Poverty (%),No,1.2346206696558648,0.9706477632994027
S02001249,City Centre West,Aberdeen City,12,"Large Urban, Dep - Student, HH Inc 40-60%",Child Poverty,Raw data,2021/22,25.602409638554217,Child Poverty (%),No,-0.8144508014884907,-0.72900522571051
S02001250,City Centre East,Aberdeen City,11,"Large Urban, Dep - Student, HH Inc 30-40%",Child Poverty,Raw data,2021/22,36.018957345971565,Child Poverty (%),No,-1.786807284315634,-0.9641290541116238
S02001251,Ferryhill North,Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2021/22,8.720930232558139,Child Poverty (%),No,0.7613895249993957,0.4150308580107455
S02001252,Ferryhill South,Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2021/22,7.154213036565977,Child Poverty (%),No,0.9076383269124292,0.5867404076433697
S02001253,"Kincorth, Leggart and Nigg North",Aberdeen City,21,"Large Urban, Dep - Average,HH Inc 0-50%",Child Poverty,Raw data,2021/22,22.89325842696629,Child Poverty (%),No,-0.5615588820600661,0.7599713851929161
S02001254,"Kincorth, Leggart and Nigg South",Aberdeen City,19,"Large Urban, Dep  - Adult, HH Inc 60-80%",Child Poverty,Raw data,2021/22,11.508704061895552,Child Poverty (%),No,0.5011583973982752,0.109495570635539
S02001255,Cove South,Aberdeen City,20,"Large Urban, Dep  - Adult, HH Inc 80-100%",Child Poverty,Raw data,2021/22,8.715596330275229,Child Poverty (%),No,0.7618874303140194,0.34075103172900745
S02001256,Cove North,Aberdeen City,18,"Large Urban, Dep  - Adult, HH Inc 40-60%",Child Poverty,Raw data,2021/22,15.423728813559324,Child Poverty (%),No,0.1357014528677688,0.8276366967624955
S02001257,Torry West,Aberdeen City,16,"Large Urban, Dep  - Adult, HH Inc 10-20%",Child Poverty,Raw data,2021/22,34.63476070528967,Child Poverty (%),No,-1.6575962813154568,-0.07060066406536081
S02001258,Torry East,Aberdeen City,4,"Large Urban, Dep - Child,HH Inc 0-10%",Child Poverty,Raw data,2021/22,37.98185941043084,Child Poverty (%),No,-1.9700388693994972,-0.002386410399806067
