InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High is Positive,CPPScore,TypeScore,Strategic Area
S02001738,Kincardine,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Child Poverty,Raw data,2021/22,21.016166281755197,Child Poverty (%),No,-0.19595872233163436,-0.8911695253164614,South West Fife
S02001739,Oakley Comrie and Blairhall,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Child Poverty,Raw data,2021/22,29.095354523227385,Child Poverty (%),No,-1.046835769311414,-0.9118911694143714,South West Fife
S02001740,Saline and Gowkhall,Fife,60,"Accessible Rural, Dep - not OP or Child, HH Inc 60-80%",Child Poverty,Raw data,2021/22,17.142857142857142,Child Poverty (%),No,0.21196714146094228,-0.2950489337614046,South West Fife
S02001741,Valleyfield Culross and Torryburn,Fife,49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%",Child Poverty,Raw data,2021/22,24.48377581120944,Child Poverty (%),No,-0.5611574611548468,-1.9659164654449959,South West Fife
S02001742,Cairneyhill and Crombie,Fife,61,"Accessible Rural, Dep - not OP or Child, HH Inc 80-100%",Child Poverty,Raw data,2021/22,13.92931392931393,Child Poverty (%),No,0.5504083410168165,-0.6185155444704069,South West Fife
S02001743,Crossford Charlestown and Limekilns,Fife,56,"Accessible Rural, Dep -OP, HH Inc 70-100%",Child Poverty,Raw data,2021/22,5.855161787365177,Child Poverty (%),No,1.4007550003681957,1.1286043944633641,South West Fife
S02001744,Dunfermline Milesmark and Wellwood,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",Child Poverty,Raw data,2021/22,15.384615384615383,Child Poverty (%),No,0.29642685716143985,-1.0467320583435993,Dunfermline
S02001745,Dunfermline Baldridgeburn,Fife,35,"Other Urban, Dep - Adult, HH Inc 0-40%",Child Poverty,Raw data,2021/22,26.862745098039216,Child Poverty (%),No,-0.8192295340732109,-0.1096647864620671,Dunfermline
S02001746,Dunfermline Headwell,Fife,40,"Other Urban, Dep - Average, HH Inc 30-40%",Child Poverty,Raw data,2021/22,22.418478260869566,Child Poverty (%),No,-0.387253696107052,0.5698412443801932,Dunfermline
S02001747,Dunfermline Central,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Child Poverty,Raw data,2021/22,14.749262536873156,Child Poverty (%),No,0.35818216773645095,1.2445512770283722,Dunfermline
S02001748,Dunfermline Brucefield,Fife,39,"Other Urban, Dep - Average, HH Inc 20-30%",Child Poverty,Raw data,2021/22,30.29801324503311,Child Poverty (%),No,-1.153132265571035,-0.33931924581204165,Dunfermline
S02001749,Dunfermline Garvock Hill,Fife,26,"Other Urban, Dep - OP, HH Inc 70-100%",Child Poverty,Raw data,2021/22,7.674418604651163,Child Poverty (%),No,1.0458460160322294,0.42749480948209545,Dunfermline
S02001750,Dunfermline Bellyeoman and Townhill,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",Child Poverty,Raw data,2021/22,12.15880893300248,Child Poverty (%),No,0.6099702370048434,0.31525070320734333,Dunfermline
S02001751,Dunfermline Duloch North and Lynebank,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",Child Poverty,Raw data,2021/22,12.113870381586915,Child Poverty (%),No,0.6143381944466352,-0.09468543687624449,Dunfermline
S02001752,Dunfermline Touch and Woodmill,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,34.024179620034545,Child Poverty (%),No,-1.5153098532848406,0.11881408655803227,Dunfermline
S02001753,Dunfermline Abbeyview North,Fife,27,"Other Urban, Dep - Child, HH Inc 0-20%",Child Poverty,Raw data,2021/22,39.52618453865336,Child Poverty (%),No,-2.0500961908954602,-0.7755774528277544,Dunfermline
S02001754,Dunfermline Abbeyview South,Fife,29,"Other Urban, Dep - Child, HH Inc 40-60%",Child Poverty,Raw data,2021/22,26.08695652173913,Child Poverty (%),No,-0.7438240886735311,0.18894123914401112,Dunfermline
S02001755,Dunfermline Duloch South,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",Child Poverty,Raw data,2021/22,8.036622583926754,Child Poverty (%),No,1.0106403514772417,0.5676693477434518,Dunfermline
S02001756,Dunfermline Masterton,Fife,31,"Other Urban, Dep - Child, HH Inc 80-100%",Child Poverty,Raw data,2021/22,5.206286836935167,Child Poverty (%),No,1.285744592700279,1.0274614715324153,Dunfermline
S02001757,Dunfermline Pitcorthie East,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",Child Poverty,Raw data,2021/22,9.106529209621993,Child Poverty (%),No,0.9066470882206674,0.1896472469782446,Dunfermline
S02001758,Dunfermline Pitcorthie West,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",Child Poverty,Raw data,2021/22,13.414634146341465,Child Poverty (%),No,0.4879059756211541,0.1003108968857437,Dunfermline
S02001759,Rosyth North,Fife,40,"Other Urban, Dep - Average, HH Inc 30-40%",Child Poverty,Raw data,2021/22,21.89239332096475,Child Poverty (%),No,-0.28824045328318404,0.685697185016028,South West Fife
S02001760,Rosyth East,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,31.123388581952117,Child Poverty (%),No,-1.2604225282142711,0.08825716425992587,South West Fife
S02001761,Rosyth Central,Fife,38,"Other Urban, Dep - Average, HH Inc 0-20%",Child Poverty,Raw data,2021/22,29.376257545271628,Child Poverty (%),No,-1.0764196738747207,0.39910096978236714,South West Fife
S02001762,Rosyth South,Fife,34,"Other Urban, Dep -Student, HH Inc 70-100%",Child Poverty,Raw data,2021/22,26.573426573426573,Child Poverty (%),No,-0.7812335154108083,-1.715766962995419,South West Fife
S02001763,North Queensferry and Inverkeithing West,Fife,36,"Other Urban, Dep - Adult, HH Inc 40-70%",Child Poverty,Raw data,2021/22,15.254237288135592,Child Poverty (%),No,0.4108711942968284,0.5277297404348923,South West Fife
S02001764,Inverkeithing East,Fife,41,"Other Urban, Dep - Average, HH Inc 40-50%",Child Poverty,Raw data,2021/22,34.74903474903475,Child Poverty (%),No,-1.6422652346640323,-1.789508902181283,South West Fife
S02001765,Dalgety Bay West and Hillend,Fife,49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%",Child Poverty,Raw data,2021/22,5.531914893617021,Child Poverty (%),No,1.4347984406467575,1.049252712684275,South West Fife
