CPP,Indicator,Type,Year,value,IndicatorFullName,FG,LineType,Improvement_Rate,High is Positive
Aberdeen City,Healthy Birthweight,Raw data,2010/11,90.08333333333331,Healthy Birthweight,1,Aberdeen City Raw data,-2.1454380012090657,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2010/11,90.04,Healthy Birthweight,1,Aberdeenshire Raw data,-4.223229031371989,Yes
Angus,Healthy Birthweight,Raw data,2010/11,90.17,Healthy Birthweight,2,Angus Raw data,-4.435023370396685,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2010/11,89.78000000000002,Healthy Birthweight,2,Argyll and Bute Raw data,-5.250197650902666,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2010/11,88.95666666666666,Healthy Birthweight,3,Clackmannanshire Raw data,-3.751683078153989,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2010/11,88.87,Healthy Birthweight,3,Dumfries and Galloway Raw data,-3.0278924890676295,Yes
Dundee City,Healthy Birthweight,Raw data,2010/11,89.99666666666667,Healthy Birthweight,4,Dundee City Raw data,-3.16113303566945,Yes
East Ayrshire,Healthy Birthweight,Raw data,2010/11,89.45333333333333,Healthy Birthweight,4,East Ayrshire Raw data,-3.634086100788514,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2010/11,88.57666666666667,Healthy Birthweight,1,East Dunbartonshire Raw data,-3.120783179489406,Yes
East Lothian,Healthy Birthweight,Raw data,2010/11,89.69,Healthy Birthweight,2,East Lothian Raw data,-4.563294044134558,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.03666666666668,Healthy Birthweight,1,East Renfrewshire Raw data,-1.2714019193091342,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2010/11,89.39,Healthy Birthweight,1,"Edinburgh, City of Raw data",-2.90022606252901,Yes
Eilean Siar,Healthy Birthweight,Raw data,2010/11,87.13666666666667,Healthy Birthweight,4,Eilean Siar Raw data,-1.9709806149465936,Yes
Falkirk,Healthy Birthweight,Raw data,2010/11,89.16333333333334,Healthy Birthweight,3,Falkirk Raw data,-3.43355053726494,Yes
Fife,Healthy Birthweight,Raw data,2010/11,88.60000000000001,Healthy Birthweight,3,Fife Raw data,-2.585899757249943,Yes
Glasgow City,Healthy Birthweight,Raw data,2010/11,89.51333333333334,Healthy Birthweight,4,Glasgow City Raw data,-2.026763349865013,Yes
Highland,Healthy Birthweight,Raw data,2010/11,89.90333333333335,Healthy Birthweight,2,Highland Raw data,-3.8014681941232142,Yes
Inverclyde,Healthy Birthweight,Raw data,2010/11,90.79,Healthy Birthweight,4,Inverclyde Raw data,-1.702058756800462,Yes
Midlothian,Healthy Birthweight,Raw data,2010/11,88.62666666666667,Healthy Birthweight,2,Midlothian Raw data,-2.4815971562731076,Yes
Moray,Healthy Birthweight,Raw data,2010/11,90.54,Healthy Birthweight,2,Moray Raw data,-5.355477083772264,Yes
North Ayrshire,Healthy Birthweight,Raw data,2010/11,88.75333333333333,Healthy Birthweight,4,North Ayrshire Raw data,-3.8747717908966584,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2010/11,88.93,Healthy Birthweight,4,North Lanarkshire Raw data,-2.612648549948471,Yes
Orkney Islands,Healthy Birthweight,Raw data,2010/11,89.36666666666667,Healthy Birthweight,1,Orkney Islands Raw data,-9.926355143429666,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2010/11,89.43333333333334,Healthy Birthweight,1,Perth and Kinross Raw data,-4.648570457489731,Yes
Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.91333333333334,Healthy Birthweight,3,Renfrewshire Raw data,-3.044498044906918,Yes
Scotland,Healthy Birthweight,Raw data,2010/11,89.42,Healthy Birthweight,NA,Scotland Raw data,-3.0796482980750106,Yes
Scottish Borders,Healthy Birthweight,Raw data,2010/11,89.61666666666667,Healthy Birthweight,2,Scottish Borders Raw data,-4.0719093339315116,Yes
