Indicator,Definition,Raw Time-Period,Source
Healthy Birthweight,Percentage of babies with a healthy bithweight - a birthweight that lies between the 5th and 95th centile for weight at its gestational age,2004/05-2006/07 to 2014/15-2016/17,Provided directly by ISD
Primary 1 Body Mass Index,,,
Child Poverty,,,
S4 Tariff ,,,
Positive Destinations,,,
Employment Rate,,,
Median Earnings,,,
Out of Work Benefits,,,
Business Survival,,,
Crime Rate,,,
Dwelling Fires,,,
Emergency Admissions,,,
Unplanned Hospital Attendances,,,
Early Mortality,,,
Fragility,,,
Well-being,,,
Fuel Poverty,,,
