"vulnerability_rank","IGZ","CPP","Indicator","BaseYear","Change","ChangeAv","InterZone_Name","group","label","CommunityValue_BaseYear","CommunityValue_RecentYear","CPPAverage_BaseYear","CPPAverage_RecentYear"
1,"S02001274","Aberdeen City","Attainment","2013/14",4.38,1.65,"Heathryfold and Middlefield","Attainment Heathryfold and Middlefield"," ","4.34","4.53",5.36,5.45
1,"S02001274","Aberdeen City","Child Poverty","2014/15",20.25,-22.81,"Heathryfold and Middlefield","Child Poverty Heathryfold and Middlefield"," ","23.75","18.94",10.52,12.92
1,"S02001274","Aberdeen City","Crime Rate","2012/13",16,22,"Heathryfold and Middlefield","Crime Rate Heathryfold and Middlefield"," ","2369.67","1988.98",1739,1364
1,"S02001274","Aberdeen City","Depopulation","2012/13",-11.73,0.58,"Heathryfold and Middlefield","Depopulation Heathryfold and Middlefield"," ","100","111.73",100,99.42
1,"S02001274","Aberdeen City","Early Mortality","2012/13",-27,11,"Heathryfold and Middlefield","Early Mortality Heathryfold and Middlefield"," ","584","743.28",497,444
1,"S02001274","Aberdeen City","Emergency Admissions","2012/13",22,12,"Heathryfold and Middlefield","Emergency Admissions Heathryfold and Middlefield"," ","34320.56","26649",26118,22899
1,"S02001274","Aberdeen City","Out of Work Benefits","2013/14",-61.44,-55.54,"Heathryfold and Middlefield","Out of Work Benefits Heathryfold and Middlefield"," ","16.83","27.17",7.62,11.85
1,"S02001274","Aberdeen City","Participation Rate","2016/17",2.06,2.45,"Heathryfold and Middlefield","Participation Rate Heathryfold and Middlefield"," ","82.81","84.52",87.9,90.05
1,"S02001343","Aberdeenshire","Attainment","2013/14",-7.47,1.29,"Fraserburgh Harbour and Broadsea","Attainment Fraserburgh Harbour and Broadsea"," ","4.55","4.21",5.44,5.51
1,"S02001343","Aberdeenshire","Child Poverty","2014/15",10.21,-14.72,"Fraserburgh Harbour and Broadsea","Child Poverty Fraserburgh Harbour and Broadsea"," ","27.42","24.62",8.91,10.22
1,"S02001343","Aberdeenshire","Crime Rate","2012/13",15,5,"Fraserburgh Harbour and Broadsea","Crime Rate Fraserburgh Harbour and Broadsea"," ","4026.62","3432.86",822,780
1,"S02001343","Aberdeenshire","Depopulation","2012/13",-11.23,0.8,"Fraserburgh Harbour and Broadsea","Depopulation Fraserburgh Harbour and Broadsea"," ","100","111.23",100,99.2
1,"S02001343","Aberdeenshire","Early Mortality","2012/13",9,6,"Fraserburgh Harbour and Broadsea","Early Mortality Fraserburgh Harbour and Broadsea"," ","798","723.45",373,352
1,"S02001343","Aberdeenshire","Emergency Admissions","2012/13",10,11,"Fraserburgh Harbour and Broadsea","Emergency Admissions Fraserburgh Harbour and Broadsea"," ","28729.28","25750.62",19800,17649
1,"S02001343","Aberdeenshire","Out of Work Benefits","2013/14",-61.21,-66.14,"Fraserburgh Harbour and Broadsea","Out of Work Benefits Fraserburgh Harbour and Broadsea"," ","16.86","27.18",5.79,9.62
1,"S02001343","Aberdeenshire","Participation Rate","2016/17",5.69,-0.91,"Fraserburgh Harbour and Broadsea","Participation Rate Fraserburgh Harbour and Broadsea"," ","81.52","86.16",93.24,92.39
1,"S02001353","Angus","Attainment","2013/14",-1.21,-3.54,"Arbroath Harbour","Attainment Arbroath Harbour"," ","4.96","4.9",5.5,5.31
1,"S02001353","Angus","Child Poverty","2014/15",-57.91,-17.9,"Arbroath Harbour","Child Poverty Arbroath Harbour"," ","23.26","36.73",14.16,16.7
1,"S02001353","Angus","Crime Rate","2012/13",-25,-36,"Arbroath Harbour","Crime Rate Arbroath Harbour"," ","2401.69","3007.26",719,978
1,"S02001353","Angus","Depopulation","2012/13",-6.22,-1.81,"Arbroath Harbour","Depopulation Arbroath Harbour"," ","100","106.22",100,101.81
1,"S02001353","Angus","Early Mortality","2012/13",-11,4,"Arbroath Harbour","Early Mortality Arbroath Harbour"," ","617","687.74",401,383
1,"S02001353","Angus","Emergency Admissions","2012/13",-20,-12,"Arbroath Harbour","Emergency Admissions Arbroath Harbour"," ","24923.39","29914.46",19852,22158
1,"S02001353","Angus","Out of Work Benefits","2013/14",-44.12,-60.21,"Arbroath Harbour","Out of Work Benefits Arbroath Harbour"," ","18.54","26.72",9.17,14.69
