InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High.is.Positive.,CPPScore,TypeScore
S02001346,Monifieth West,Angus,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,5.48352,Average Highest Attainment,Yes,-0.03189349758294766,-0.6410883257111433
S02001347,Monifieth East,Angus,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,5.82609,Average Highest Attainment,Yes,1.1646930320790794,0.5066577649363584
S02001454,Craigie and  Craigiebank,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2018/19,5.42308,Average Highest Attainment,Yes,0.5200417159856218,-0.8435864245485661
S02001456,West Ferry,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,6.08333,Average Highest Attainment,Yes,1.7477089742244707,1.368514332523025
S02001458,Broughty Ferry West,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,5.87324,Average Highest Attainment,Yes,1.3570681347191322,0.6646290647408658
S02001459,Broughty Ferry East,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,5.78571,Average Highest Attainment,Yes,1.1943150637404931,0.37136866448872424
S02001460,Barnhill,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,5.90826,Average Highest Attainment,Yes,1.4221842382913015,0.7819600280315098
S02001469,Law,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2018/19,5.12632,Average Highest Attainment,Yes,-0.03175311257168297,-1.8378507496808112
S02001470,Balgay,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2018/19,5.625,Average Highest Attainment,Yes,0.8954912771875735,-0.16707391433592542
S02001574,North Giffnock and North Thornliebank,East Renfrewshire,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,6.01099,Average Highest Attainment,Yes,-0.2951627833938431,1.1261464888781025
S02001634,Mountcastle,"Edinburgh, City of",1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,5.70968,Average Highest Attainment,Yes,0.21990888540797882,0.1166378495547545
S02001898,Carmyle and Mount Vernon South,Glasgow City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2018/19,5.3066700000000004,Average Highest Attainment,Yes,-0.26162637226025115,-1.233606339930167
S02001913,Carntyne,Glasgow City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2018/19,5.24,Average Highest Attainment,Yes,-0.4394608195237173,-1.4569774228138679
S02002257,Kilbarchan,Renfrewshire,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,6.0989,Average Highest Attainment,Yes,1.3454561382104795,1.4206800406451079
S02002280,Renfrew South,Renfrewshire,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Attainment,Raw data,2018/19,5.55634,Average Highest Attainment,Yes,-0.17046842796146516,-0.3971122906790321
S02002414,Burnside and Springhall,South Lanarkshire,1,"Large Urban, Dep - OP, HH Inc 30-80%",Attainment,Raw data,2018/19,5.74074,Average Highest Attainment,Yes,0.5875480344751984,0.22070123390105326
S02001346,Monifieth West,Angus,1,"Large Urban, Dep - OP, HH Inc 30-80%",Child Poverty,Raw data,2018/19,7.964601769911504,Child Poverty (%),No,1.268190885815564,0.8590403030184512
S02001347,Monifieth East,Angus,1,"Large Urban, Dep - OP, HH Inc 30-80%",Child Poverty,Raw data,2018/19,6.656804733727811,Child Poverty (%),No,1.4514568506572396,1.059814646240426
S02001454,Craigie and  Craigiebank,Dundee City,1,"Large Urban, Dep - OP, HH Inc 0- 30%",Child Poverty,Raw data,2018/19,20.825515947467167,Child Poverty (%),No,0.026155163606617987,-1.1153804410198729
S02001456,West Ferry,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Child Poverty,Raw data,2018/19,14.50381679389313,Child Poverty (%),No,0.7056590647646543,-0.1448666988343732
S02001458,Broughty Ferry West,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Child Poverty,Raw data,2018/19,11.501597444089457,Child Poverty (%),No,1.0283602422116058,0.3160370970054514
S02001459,Broughty Ferry East,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Child Poverty,Raw data,2018/19,5.1923076923076925,Child Poverty (%),No,1.7065302872774681,1.2846457350917009
S02001460,Barnhill,Dundee City,1,"Large Urban, Dep - OP, HH Inc 30-80%",Child Poverty,Raw data,2018/19,7.933884297520661,Child Poverty (%),No,1.4118449576991694,0.8637560809060564
